purpose,default_rate,count
small_business,0.29592186429061,5836
moving,0.24097755044046604,3519
renewable_energy,0.24057971014492754,345
educational,0.22602739726027396,146
medical,0.21838478981336124,5733
house,0.21711745090774362,2699
debt_consolidation,0.21120631691464234,290015
other,0.20929830027347943,28887
vacation,0.19496296296296298,3375
major_purchase,0.19028193273501948,11031
home_improvement,0.1766846569005397,32425
credit_card,0.17035827945615203,109663
car,0.14647577092511013,5448
wedding,0.1252847380410023,878
