,count,mean,std,min,1%,25%,50%,75%,99%,max
emp_length_num,470891.0,5.963388554888499,3.692049832028446,0.0,0.0,2.0,6.0,10.0,10.0,10.0
emp_length_missing,500000.0,0.058218,0.23415544865347976,0.0,0.0,0.0,0.0,0.0,1.0,1.0
loan_amnt,500000.0,14418.9549,8712.01332789091,500.0,1500.0,8000.0,12000.0,20000.0,35000.0,40000.0
term_months,500000.0,41.781408,10.263007560916675,36.0,36.0,36.0,36.0,36.0,60.0,60.0
int_rate,500000.0,13.24171786,4.764181877050343,5.31,5.32,9.75,12.74,15.99,26.3,30.99
installment,500000.0,438.11189665999996,261.385545641613,14.77,53.169799999999995,248.48,375.43,580.73,1218.61,1719.83
annual_inc,499998.0,76294.07715478861,71096.48163979624,0.0,18000.0,45800.0,65000.0,90000.0,252000.0,10999200.0
dti,499656.0,18.16733326528652,8.661667235165783,0.0,1.76,11.79,17.6,24.03,38.36,99.9
fico_score,500000.0,698.170542,31.86285059295348,612.0,662.0,672.0,692.0,712.0,802.0,847.5
credit_history_months,499986.0,194.96948036926966,90.07170066579174,6.04517453798768,45.9958932238193,134.0451745379877,176.98562628336757,240.0,477.9630390143737,998.9979466119097
delinq_2yrs,499986.0,0.3171628805606557,0.871761046844315,0.0,0.0,0.0,0.0,0.0,4.0,29.0
inq_last_6mths,499986.0,0.6627425567915901,0.9596542241245831,0.0,0.0,0.0,0.0,1.0,4.0,32.0
open_acc,499986.0,11.586624425483913,5.469187030920449,0.0,3.0,8.0,11.0,14.0,29.0,90.0
pub_rec,499986.0,0.2142319984959579,0.5815376870592099,0.0,0.0,0.0,0.0,0.0,2.0,46.0
revol_bal,500000.0,16325.403826,22631.738954332075,0.0,162.0,5942.0,11142.0,19792.0,96567.0,2904836.0
revol_util,499655.0,51.80356421931134,24.48818099215319,0.0,1.1,33.4,52.2,70.7,98.2,100.0
total_acc,499986.0,24.951822651034227,11.994776331712501,1.0,5.0,16.0,23.0,32.0,61.0,151.0
mort_acc,481440.0,1.66732926221336,2.0037281101732316,0.0,0.0,0.0,1.0,3.0,8.0,37.0
pub_rec_bankruptcies,499498.0,0.13452506316341606,0.37745264880179275,0.0,0.0,0.0,0.0,0.0,1.0,9.0
acc_open_past_24mths,481440.0,4.688605018278498,3.182840233841823,0.0,0.0,2.0,4.0,6.0,15.0,56.0
avg_cur_bal,473930.0,13463.895630156352,16283.068989180205,0.0,466.0,3089.0,7349.0,18700.0,73525.97000000015,555925.0
bc_open_to_buy,476341.0,10171.81015071136,15359.294987140303,0.0,0.0,1465.0,4700.0,12364.0,74083.99999999988,559912.0
bc_util,476057.0,59.951009017827694,28.29294951675339,0.0,0.0,38.3,63.2,84.9,100.9,339.6
total_bal_ex_mort,481440.0,49640.59710451977,47690.52765525816,0.0,2360.0,20871.75,37241.0,62500.0,234493.65999999992,3408095.0
total_bc_limit,481440.0,21645.648425556665,21584.371510469657,0.0,0.0,7800.0,15100.0,28100.0,103500.0,760000.0
total_il_high_credit_limit,473939.0,42087.745583292366,43081.32262117887,0.0,0.0,14742.0,31652.0,56571.0,203150.43999999994,1736064.0
