grouping_version,information_group,feature
v2_fico_and_credit_history_in_financial_credit,Borrower and application characteristics,emp_length_num
v2_fico_and_credit_history_in_financial_credit,Borrower and application characteristics,emp_length_missing
v2_fico_and_credit_history_in_financial_credit,Borrower and application characteristics,home_ownership
v2_fico_and_credit_history_in_financial_credit,Borrower and application characteristics,verification_status
v2_fico_and_credit_history_in_financial_credit,Borrower and application characteristics,purpose
v2_fico_and_credit_history_in_financial_credit,Borrower and application characteristics,application_type
v2_fico_and_credit_history_in_financial_credit,Borrower and application characteristics,addr_state
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,loan_amnt
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,term_months
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,int_rate
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,installment
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,annual_inc
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,dti
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,fico_score
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,credit_history_months
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,delinq_2yrs
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,inq_last_6mths
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,open_acc
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,pub_rec
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,revol_bal
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,revol_util
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,total_acc
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,mort_acc
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,pub_rec_bankruptcies
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,acc_open_past_24mths
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,avg_cur_bal
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,bc_open_to_buy
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,bc_util
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,total_bal_ex_mort
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,total_bc_limit
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,total_il_high_credit_limit
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,initial_list_status
v2_fico_and_credit_history_in_financial_credit,Financial and credit characteristics,disbursement_method
v2_fico_and_credit_history_in_financial_credit,Platform-assigned risk information,grade
