variable,category,population_count,sample_count,population_share,sample_share,absolute_share_difference
grade,B,393102,145954,0.291597278834863,0.291908,0.00031072116513697345
grade,C,382323,141813,0.2836015752552298,0.283626,2.4424744770212836e-05
grade,A,235193,87201,0.1744627063739384,0.174402,6.0706373938401725e-05
grade,D,201657,74754,0.14958619507914478,0.149508,7.819507914477719e-05
grade,E,94192,34943,0.06987023950021475,0.069886,1.5760499785258397e-05
grade,F,32306,11912,0.02396411539508597,0.023824,0.0001401153950859671
grade,G,9326,3423,0.006917889561523301,0.006846,7.188956152330127e-05
term,36.0,1023206,379554,0.7589991536229906,0.759108,0.00010884637700936395
term,60.0,324893,120446,0.24100084637700941,0.240892,0.00010884637700941946
purpose,car,14652,5448,0.01086863798578591,0.010896,2.73620142140895e-05
purpose,credit_card,295625,109663,0.21929027467567294,0.219326,3.5725324327051666e-05
purpose,debt_consolidation,781442,290015,0.5796621761458172,0.58003,0.00036782385418288044
purpose,educational,423,146,0.00031377517526531807,0.000292,2.1775175265318074e-05
purpose,home_improvement,87721,32425,0.06507014692541127,0.06485,0.0002201469254112659
purpose,house,7298,2699,0.00541354900493213,0.005398,1.5549004932130343e-05
purpose,major_purchase,29550,11031,0.021919755151513353,0.022062,0.00014224484848664523
purpose,medical,15614,5733,0.011582235429297106,0.011466,0.0001162354292971058
purpose,moving,9526,3519,0.007066246618386335,0.007038,2.8246618386335194e-05
purpose,other,78301,28887,0.05808252954716234,0.057774,0.0003085295471623381
purpose,renewable_energy,936,345,0.0006943110261190017,0.00069,4.311026119001716e-06
purpose,small_business,15577,5836,0.011554789373777446,0.011672,0.00011721062622255425
purpose,vacation,9084,3375,0.006738377522719029,0.00675,1.1622477280971016e-05
purpose,wedding,2350,878,0.001743195418140656,0.001756,1.2804581859344067e-05
