default,issue_year,population_count,sample_count,population_share,sample_share,absolute_share_difference
0.0,2007,445,165,0.00033009445152025187,0.00033,9.44515202518678e-08
0.0,2008,1897,704,0.0014071666843458825,0.001408,8.333156541174246e-07
0.0,2009,4558,1691,0.0033810573259085573,0.003382,9.426740914426912e-07
0.0,2010,10780,3998,0.007996445364917561,0.007996,4.453649175614055e-07
0.0,2011,18424,6833,0.013666652078222742,0.013666,6.520782227428107e-07
0.0,2012,44723,16587,0.03317486327042747,0.033174,8.632704274688652e-07
0.0,2013,113780,42200,0.08440032964938035,0.0844,3.2964938034840685e-07
0.0,2014,181941,67481,0.13496115641358683,0.134962,8.435864131683957e-07
0.0,2015,299742,111172,0.2223442046911985,0.222344,2.046911984909805e-07
0.0,2016,224853,83396,0.16679264653411952,0.166792,6.465341195194263e-07
0.0,2017,130152,48272,0.09654483832418835,0.096544,8.383241883458403e-07
0.0,2018,47444,17597,0.03519326102904905,0.035194,7.389709509517117e-07
1.0,2007,158,59,0.00011720207492179729,0.000118,7.979250782027061e-07
1.0,2008,496,184,0.00036792550102032566,0.000368,7.449897967433785e-08
1.0,2009,723,268,0.0005363107605598699,0.000536,3.107605598698599e-07
1.0,2010,1757,652,0.0013033167445417584,0.001304,6.832554582416033e-07
1.0,2011,3297,1223,0.0024456660823871245,0.002446,3.3391761287537153e-07
1.0,2012,8644,3206,0.006411991997620353,0.006412,8.002379646952773e-09
1.0,2013,21024,7798,0.01559529381744219,0.015596,7.061825578105058e-07
1.0,2014,41162,15267,0.03053336587298114,0.030534,6.341270188600645e-07
1.0,2015,75804,28115,0.056230291692227354,0.05623,2.916922273513145e-07
1.0,2016,68252,25314,0.05062832922507917,0.050628,3.292250791708806e-07
1.0,2017,39169,14527,0.029054987801340998,0.029054,9.878013409979347e-07
1.0,2018,8874,3291,0.006582602613012843,0.006582,6.02613012842465e-07
