model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Logistic Regression,1,6667,192,0.03481864346344483,0.0287985600719964,0.00806613431667158,0.0469025250515853,0.025047413497212827,0.033092417015327
Logistic Regression,2,6667,381,0.057016322562754365,0.057147142642867854,0.046908540248991784,0.066663164745823,0.05182595548862135,0.06297838943841153
Logistic Regression,3,6666,534,0.07652816578929106,0.08010801080108011,0.06666377698626902,0.08643835165400149,0.07383051265339745,0.08686919571748801
Logistic Regression,4,6667,662,0.09610928834299436,0.09929503524823759,0.08643938412471106,0.10568005178552287,0.09234544995860415,0.10670613597622004
Logistic Regression,5,6666,772,0.11518667491569659,0.11581158115811581,0.10569111427195624,0.1245505812805833,0.10834992971839454,0.1237157913026264
Logistic Regression,6,6667,870,0.1341004075618993,0.13049347532623368,0.12455250317094263,0.1437280696888173,0.12262001951148424,0.13879251350384023
Logistic Regression,7,6667,1029,0.15349299265457766,0.15434228288585572,0.1437282393621443,0.16325263003810786,0.1458693260994478,0.16321335396298992
Logistic Regression,8,6666,1178,0.1737015813620751,0.1767176717671767,0.16325608226111415,0.18434445803591878,0.16774794004265123,0.1860598025580126
Logistic Regression,9,6667,1313,0.19582247856512378,0.19694015299235038,0.18434666852747317,0.20761384336092803,0.18756960144471016,0.20665975636225678
Logistic Regression,10,6666,1450,0.22017674243826796,0.21752175217521752,0.20761407642472907,0.23336817355981976,0.2077819597852267,0.2275869401298777
Logistic Regression,11,6667,1679,0.2478896614553642,0.25183740812959354,0.2333719632500442,0.2630277871865131,0.24156279026664623,0.26239784942235495
Logistic Regression,12,6667,1875,0.28062394991029804,0.28123593820308984,0.26302942710649846,0.29970599163799766,0.27057185774633125,0.29215198207621823
Logistic Regression,13,6666,2190,0.3221967589112179,0.32853285328532855,0.2997111823712175,0.3476804394472266,0.317359202737143,0.33990402222460125
Logistic Regression,14,6667,2511,0.381858304908768,0.3766311684415779,0.3476876475008851,0.4231191328496129,0.36507422709500276,0.3883302009159996
Logistic Regression,15,6667,3345,0.500081033681133,0.5017249137543123,0.42312229789372463,0.8257812799273275,0.4897252484903956,0.5137225923337667
Probit Regression,1,6667,193,0.030365486723054814,0.028948552572371382,0.0034337483215496566,0.044045254895694864,0.025187221341833585,0.03325242141628557
Probit Regression,2,6667,388,0.05509325665194152,0.05819709014549272,0.044045937710050005,0.06570747730051676,0.052827567535615766,0.06407546311047242
Probit Regression,3,6666,518,0.07598301646762493,0.0777077707770777,0.06570891947201173,0.08613050638280756,0.07152151747588163,0.08438047575886025
Probit Regression,4,6667,665,0.09614315639489485,0.09974501274936254,0.08613081741545085,0.10599841847484708,0.09278073815260929,0.10717028451895291
Probit Regression,5,6666,761,0.11577695078230457,0.11416141614161417,0.10599847721679673,0.12548631628189086,0.10674846526584224,0.12201882659908002
Probit Regression,6,6667,888,0.135290093941617,0.13319334033298336,0.12549066029847913,0.14536989245947327,0.12524788937589632,0.14156126405985608
Probit Regression,7,6667,1020,0.1553149186322221,0.15299235038248088,0.14536989416687354,0.16537235432287745,0.1445512556430868,0.16183311420913693
Probit Regression,8,6666,1192,0.1760431240583394,0.1788178817881788,0.16538468638280504,0.18702241513928436,0.16980449116708066,0.1882012521777088
Probit Regression,9,6667,1325,0.19846050656647987,0.19874006299685015,0.18702532666934935,0.21010077085806397,0.1893357374293964,0.2084913673245225
Probit Regression,10,6666,1437,0.22284809689127144,0.21557155715571558,0.2101055910602394,0.23596171322618095,0.20586507408399862,0.22560568228298916
Probit Regression,11,6667,1684,0.25031124248632997,0.2525873706314684,0.23596272414381422,0.26521173651284313,0.24230205911976754,0.2631576417971302
Probit Regression,12,6667,1869,0.28236158155980084,0.28033598320083997,0.26521206808572034,0.3011883086771312,0.2696829493152594,0.29124201703381414
Probit Regression,13,6666,2171,0.3229124621541556,0.3256825682568257,0.3011934799801197,0.34756311912433635,0.31453575233174497,0.3370301859058287
Probit Regression,14,6667,2538,0.3802027416739784,0.3806809659517024,0.3475710044592982,0.4196266144832118,0.369097394179069,0.3924019644625753
Probit Regression,15,6667,3332,0.49252159827447145,0.4997750112494375,0.41962993633349105,0.8144705848965166,0.4877763987487069,0.5117738828829242
XGBoost,1,6667,193,0.034068641619869396,0.028948552572371382,0.012969966670642982,0.04535410248651303,0.025187221341833585,0.03325242141628557
XGBoost,2,6667,379,0.0550575329013503,0.056847157642117896,0.04535425088835098,0.0653717763098606,0.05153987679499051,0.06266484364088373
XGBoost,3,6666,556,0.07707820127921651,0.08340834083408341,0.06537259317740977,0.08834566852197398,0.07700818163719768,0.09028838504588517
XGBoost,4,6667,672,0.09845292133214884,0.1007949602519874,0.0883476751299412,0.10806597259350316,0.09379658533126178,0.1082531230593557
XGBoost,5,6666,819,0.11736569049162525,0.12286228622862286,0.10807466571841579,0.12657944595204612,0.1151980477034929,0.13096096152994974
XGBoost,6,6667,873,0.13571448862980556,0.13094345282735864,0.12658762943601914,0.14492026852809461,0.1230579192951491,0.13925405045691341
XGBoost,7,6667,1013,0.15481947406677604,0.151942402879856,0.1449209264635265,0.16482043493896673,0.14352625141288414,0.16075943272028428
XGBoost,8,6666,1121,0.17505727482533476,0.16816681668166816,0.16482100482682185,0.18560563400191213,0.15937982937966422,0.1773360530484882
XGBoost,9,6667,1341,0.1965193216657405,0.20113994300284985,0.18560721351912393,0.20791455213002003,0.19169106015364995,0.21093304052953815
XGBoost,10,6666,1509,0.22036240776401536,0.22637263726372636,0.20791646673941164,0.23350629527951988,0.21648570651653176,0.236574767963102
XGBoost,11,6667,1633,0.24799549846078375,0.2449377531123444,0.23350639057366818,0.2634867910164212,0.23476346694293812,0.255405809449414
XGBoost,12,6667,1823,0.2813859375372052,0.2734363281835908,0.2634897370572153,0.30054916449942926,0.2628697765172734,0.28426382653515103
XGBoost,13,6666,2210,0.323742821211366,0.3315331533153315,0.30054969469099685,0.3498083236590144,0.32033176363105886,0.34292860525086477
