model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Logistic Regression,1,6667,192,0.03398739265513906,0.0287985600719964,0.007718697803813548,0.04594892645607411,0.025047413497212827,0.033092417015327
Logistic Regression,2,6667,381,0.056011066947394904,0.057147142642867854,0.045954900084943635,0.06562451893847734,0.05182595548862135,0.06297838943841153
Logistic Regression,3,6666,534,0.07548267543552463,0.08010801080108011,0.0656251299646137,0.08539788954606303,0.07383051265339745,0.08686919571748801
Logistic Regression,4,6667,662,0.09509406059036249,0.09929503524823759,0.08539892370499372,0.10469845799781624,0.09234544995860415,0.10670613597622004
Logistic Regression,5,6666,772,0.11425401252255353,0.11581158115811581,0.10470956894922122,0.1236728681264044,0.10834992971839454,0.1237157913026264
Logistic Regression,6,6667,870,0.13329139419657393,0.13049347532623368,0.12367480261883458,0.14299411439040893,0.12262001951148424,0.13879251350384023
Logistic Regression,7,6667,1029,0.1528460540770306,0.15434228288585572,0.1429942854851871,0.16269769385437657,0.1458693260994478,0.16321335396298992
Logistic Regression,8,6666,1178,0.17325520993548527,0.1767176717671767,0.16270118029719913,0.1840134699859353,0.16774794004265123,0.1860598025580126
Logistic Regression,9,6667,1313,0.19562579320241913,0.19694015299235038,0.1840157054058974,0.2075599373133435,0.18756960144471016,0.20665975636225678
Logistic Regression,10,6666,1450,0.22028437880730928,0.21752175217521752,0.20756017328840273,0.23365004099990982,0.2077819597852267,0.2275869401298777
Logistic Regression,11,6667,1679,0.24837269075284996,0.25183740812959354,0.2336538819863828,0.26372487161787644,0.24156279026664623,0.26239784942235495
Logistic Regression,12,6667,1875,0.2815790178103097,0.28123593820308984,0.26372653516708433,0.3009450440119983,0.27057185774633125,0.29215198207621823
Logistic Regression,13,6666,2190,0.3237779718750917,0.32853285328532855,0.3009503129842459,0.3496517287652259,0.317359202737143,0.33990402222460125
Logistic Regression,14,6667,2511,0.3843500639588298,0.3766311684415779,0.3496590474582322,0.426229486267971,0.36507422709500276,0.3883302009159996
Logistic Regression,15,6667,3345,0.5041725255737307,0.5017249137543123,0.42623269761457516,0.8309562515404876,0.4897252484903956,0.5137225923337667
Probit Regression,1,6667,193,0.02982600600294562,0.028948552572371382,0.003300549568494847,0.04340098166258136,0.025187221341833585,0.03325242141628557
Probit Regression,2,6667,388,0.0544134918548724,0.05819709014549272,0.04340166124855226,0.06500815485866719,0.052827567535615766,0.06407546311047242
Probit Regression,3,6666,518,0.07528735628169107,0.0777077707770777,0.06500959612305714,0.08544768142245439,0.07152151747588163,0.08438047575886025
Probit Regression,4,6667,665,0.09548876552918721,0.09974501274936254,0.08544799311207547,0.10537871981932237,0.09278073815260929,0.10717028451895291
Probit Regression,5,6666,761,0.11520343650859902,0.11416141614161417,0.10537877880567365,0.12496387748847863,0.10674846526584224,0.12201882659908002
Probit Regression,6,6667,888,0.13482869791005772,0.13319334033298336,0.12496824654580481,0.1449757323130394,0.12524788937589632,0.14156126405985608
Probit Regression,7,6667,1020,0.1549950900412943,0.15299235038248088,0.14497573403255115,0.1651313755383177,0.1445512556430868,0.16183311420913693
Probit Regression,8,6666,1192,0.17589308686626218,0.1788178817881788,0.16514380855526314,0.18696943658902918,0.16980449116708066,0.1882012521777088
Probit Regression,9,6667,1325,0.1985154164335071,0.19874006299685015,0.1869723747478469,0.2102686161927437,0.1893357374293964,0.2084913673245225
Probit Regression,10,6666,1437,0.22314600791441652,0.21557155715571558,0.2102734843938312,0.236396488384348,0.20586507408399862,0.22560568228298916
Probit Regression,11,6667,1684,0.250901730702456,0.2525873706314684,0.2363975100687347,0.2659666250088609,0.24230205911976754,0.2631576417971302
Probit Regression,12,6667,1869,0.2833111094461064,0.28033598320083997,0.2659669602950795,0.3023538915547618,0.2696829493152594,0.29124201703381414
Probit Regression,13,6666,2171,0.3243310286650262,0.3256825682568257,0.3023591227528153,0.34926948076554604,0.31453575233174497,0.3370301859058287
Probit Regression,14,6667,2538,0.38228565325018843,0.3806809659517024,0.34927745811233546,0.4221559805593336,0.369097394179069,0.3924019644625753
Probit Regression,15,6667,3332,0.49575304871189996,0.4997750112494375,0.4221593390318873,0.8185560496088766,0.4877763987487069,0.5117738828829242
XGBoost,1,6667,193,0.14496183870895274,0.028948552572371382,0.06544680148363116,0.18264295160770416,0.025187221341833585,0.03325242141628557
XGBoost,2,6667,379,0.21142780828622573,0.056847157642117896,0.1826434135437012,0.24060598015785217,0.05153987679499051,0.06266484364088373
XGBoost,3,6666,556,0.2707146452938226,0.08340834083408341,0.24060818552970892,0.29838478565216064,0.07700818163719768,0.09028838504588517
XGBoost,4,6667,672,0.3212525379278679,0.1007949602519874,0.29838949441909796,0.3422327935695648,0.09379658533126178,0.1082531230593557
XGBoost,5,6666,819,0.3612394867235213,0.12286228622862286,0.3422511219978332,0.37950089573860174,0.1151980477034929,0.13096096152994974
XGBoost,6,6667,873,0.3965721347485058,0.13094345282735864,0.37951663136482233,0.4132980406284333,0.1230579192951491,0.13925405045691341
XGBoost,7,6667,1013,0.4302898402717923,0.151942402879856,0.4132992029190063,0.44696909189224243,0.14352625141288414,0.16075943272028428
XGBoost,8,6666,1121,0.4631065808900512,0.16816681668166816,0.4469700157642365,0.4792743623256683,0.15937982937966422,0.1773360530484882
XGBoost,9,6667,1341,0.4950928232856503,0.20113994300284985,0.47927671670913696,0.5111468434333801,0.19169106015364995,0.21093304052953815
XGBoost,10,6666,1509,0.5276933962290902,0.22637263726372636,0.5111494660377502,0.5446414351463318,0.21648570651653176,0.236574767963102
XGBoost,11,6667,1633,0.5621814606285209,0.2449377531123444,0.5446415543556213,0.5803267955780029,0.23476346694293812,0.255405809449414
XGBoost,12,6667,1823,0.5998608066579008,0.2734363281835908,0.5803301334381104,0.619998574256897,0.2628697765172734,0.28426382653515103
XGBoost,13,6666,2210,0.6424353384342131,0.3315331533153315,0.6199991106987,0.6665209531784058,0.32033176363105886,0.34292860525086477
XGBoost,14,6667,2527,0.694500448536762,0.3790310484475776,0.6665331125259398,0.7255339622497559,0.3674582221140847,0.390743201826187
XGBoost,15,6667,3312,0.7707283070943194,0.4967751612419379,0.7255452871322633,0.8741442561149597,0.4847785245016371,0.5087755122184072
LightGBM,1,6667,168,0.10353286834423067,0.02519874006299685,0.019906751613597534,0.1481083360306221,0.021701156843219587,0.02924317977541636
LightGBM,2,6667,363,0.18108665633548104,0.054447277636118195,0.14811563784054332,0.21174611688468345,0.049252834708902196,0.060154889797702796
LightGBM,3,6666,491,0.2385670689981048,0.07365736573657365,0.21174730664059527,0.2638832611773476,0.0676292041389861,0.0801766448035135
LightGBM,4,6667,650,0.28734618119801175,0.09749512524373781,0.26388826091910267,0.31006490718604135,0.09060475316224123,0.10484908582563102
LightGBM,5,6666,743,0.3315275995427743,0.11146114611461146,0.31006618819121473,0.352250589688909,0.10412898536618281,0.11924087697057792
LightGBM,6,6667,892,0.3725797418683887,0.13379331033448327,0.3522622692506221,0.39279109804783524,0.12583201262592178,0.1421763897921479
LightGBM,7,6667,972,0.4124234043651339,0.14579271036448177,0.3927934089091464,0.4316771203169654,0.1375255630679606,0.15446781899645534
LightGBM,8,6666,1165,0.4508575748591729,0.17476747674767476,0.43168581731851513,0.4694556836360346,0.16583871180178603,0.18407088725076118
LightGBM,9,6667,1290,0.48823882336815805,0.1934903254837258,0.469457301695299,0.507120585038192,0.18418537306595797,0.20314830309268442
LightGBM,10,6666,1501,0.526328940939954,0.22517251725172518,0.5071212059393649,0.5457956273230008,0.21530515593452693,0.2353564609770351
LightGBM,11,6667,1616,0.5657616819895396,0.2423878806059697,0.5457972324759551,0.585717143253162,0.23225157617483028,0.25282089204267316
LightGBM,12,6667,1869,0.6072110155435846,0.28033598320083997,0.5857278140376284,0.6296968799954563,0.2696829493152594,0.29124201703381414
LightGBM,13,6666,2238,0.6548857534227778,0.3357335733573357,0.6297005189497412,0.6817859738143481,0.32449421721007743,0.34716215316009746
LightGBM,14,6667,2578,0.7126002805042804,0.38668066596670164,0.6818032801558392,0.746832511954241,0.37505921914678475,0.3984326293180326
