feature,importance,rank,term_type
term_months,0.2265275904868753,1,main_effect
loan_amnt,0.17009423780937,2,main_effect
acc_open_past_24mths,0.1611894149270632,3,main_effect
grade_A,0.1540887920942102,4,main_effect
dti,0.153976640288308,5,main_effect
total_acc,0.1210887834109315,6,main_effect
int_rate,0.104715125719102,7,main_effect
grade_B,0.1033143115879956,8,main_effect
total_il_high_credit_limit,0.0994590825583673,9,main_effect
fico_score,0.0917583123588802,10,main_effect
annual_inc,0.0818142986267896,11,main_effect
open_acc,0.0810601190853572,12,main_effect
revol_util,0.0738049838392418,13,main_effect
grade_D,0.0694036442669112,14,main_effect
revol_bal,0.06739062269808,15,main_effect
mort_acc,0.0621063785247851,16,main_effect
avg_cur_bal,0.0588291097098797,17,main_effect
home_ownership_RENT,0.056603471098672,18,main_effect
inq_last_6mths,0.0558422148906389,19,main_effect
home_ownership_MORTGAGE,0.051170918524128,20,main_effect
emp_length_missing,0.0499568607962993,21,main_effect
grade_E,0.0498098268978927,22,main_effect
total_bal_ex_mort,0.0492769246874396,23,main_effect
bc_util,0.0474485758821896,24,main_effect
total_bc_limit,0.0470084804837985,25,main_effect
installment,0.0458280095926542,26,main_effect
bc_open_to_buy,0.0453100097489031,27,main_effect
delinq_2yrs,0.0422002880368615,28,main_effect
grade_C,0.0347697594224724,29,main_effect
credit_history_months,0.0346075477954774,30,main_effect
purpose_credit_card,0.034106440111043,31,main_effect
purpose_debt_consolidation,0.0320417143408221,32,main_effect
verification_status_Not Verified,0.0255496571310394,33,main_effect
verification_status_Source Verified,0.0232110621101847,34,main_effect
grade_F,0.0206485360930865,35,main_effect
initial_list_status_f,0.0167891848487539,36,main_effect
initial_list_status_w,0.0166875316134704,37,main_effect
emp_length_num,0.0166785058362681,38,main_effect
addr_state_NY,0.0144802211007117,39,main_effect
addr_state_WA,0.0134217542817041,40,main_effect
addr_state_CO,0.0120331189749276,41,main_effect
pub_rec_bankruptcies,0.0116310771458789,42,main_effect
pub_rec,0.0114111696255214,43,main_effect
addr_state_OR,0.0108974148271011,44,main_effect
purpose_small_business,0.0107030054097996,45,main_effect
addr_state_GA,0.0069283513250491,46,main_effect
addr_state_FL,0.006408414064678,47,main_effect
grade_G,0.0062665666076479,48,main_effect
addr_state_NJ,0.0052476783599401,49,main_effect
addr_state_SC,0.0050128847589833,50,main_effect
addr_state_OK,0.0049533420158334,51,main_effect
purpose_other,0.0046023834823688,52,main_effect
home_ownership_OWN,0.0044951868493026,53,main_effect
addr_state_LA,0.0037540468506118,54,main_effect
addr_state_AL,0.003704619468512,55,main_effect
addr_state_IL,0.0036374468298922,56,main_effect
addr_state_UT,0.0032456841940883,57,main_effect
purpose_home_improvement,0.0031705760381652,58,main_effect
purpose_moving,0.0031179807838129,59,main_effect
addr_state_NC,0.0030098887157623,60,main_effect
purpose_car,0.0029507798347085,61,main_effect
purpose_medical,0.0028301191914235,62,main_effect
addr_state_AR,0.0026636728501736,63,main_effect
addr_state_KS,0.0026383203400882,64,main_effect
addr_state_CA,0.0026258253578801,65,main_effect
addr_state_NH,0.0025989040752402,66,main_effect
verification_status_Verified,0.002589874407122,67,main_effect
addr_state_WV,0.0025849614281028,68,main_effect
addr_state_MN,0.0023950512451187,69,main_effect
addr_state_CT,0.0023614852854761,70,main_effect
addr_state_WI,0.0023348556209077,71,main_effect
addr_state_OH,0.0021763452558796,72,main_effect
addr_state_NV,0.0021363840477762,73,main_effect
purpose_vacation,0.0020387490335,74,main_effect
addr_state_MD,0.0020163066629325,75,main_effect
addr_state_IN,0.0018270665447716,76,main_effect
purpose_major_purchase,0.0017324935441669,77,main_effect
addr_state_MS,0.0016291247551605,78,main_effect
addr_state_VA,0.0015680133746311,79,main_effect
purpose_wedding,0.0015206171483372,80,main_effect
addr_state_MO,0.0013963793595068,81,main_effect
addr_state_DC,0.0013725610603652,82,main_effect
addr_state_ME,0.0013057930389921,83,main_effect
addr_state_VT,0.001257784054598,84,main_effect
addr_state_NM,0.0012427627391056,85,main_effect
application_type_Joint App,0.0010584838700888,86,main_effect
application_type_Individual,0.0009947384995388,87,main_effect
addr_state_RI,0.0009781412550796,88,main_effect
purpose_house,0.0009699007578441,89,main_effect
addr_state_TX,0.0008653667010547,90,main_effect
addr_state_PA,0.000798896748014,91,main_effect
addr_state_NE,0.0006731236443503,92,main_effect
addr_state_HI,0.0006255970964369,93,main_effect
addr_state_SD,0.0005474789156667,94,main_effect
addr_state_KY,0.0005149884438931,95,main_effect
addr_state_WY,0.0004564159060073,96,main_effect
addr_state_MI,0.000455241762519,97,main_effect
disbursement_method_Cash,0.0004051037216928,98,main_effect
disbursement_method_DirectPay,0.0004016689822097,99,main_effect
addr_state_MA,0.0003486133073118,100,main_effect
purpose_educational,0.0003326752513434,101,main_effect
addr_state_AZ,0.0002845299948759,102,main_effect
purpose_renewable_energy,0.0002754969593642,103,main_effect
addr_state_ID,0.0001315214827047,104,main_effect
addr_state_DE,0.0001099544012753,105,main_effect
addr_state_TN,0.0001027912651949,106,main_effect
home_ownership_ANY,9.554373077053588e-05,107,main_effect
addr_state_AK,9.009194537933752e-05,108,main_effect
addr_state_ND,4.413182405287151e-05,109,main_effect
addr_state_MT,3.944414803058705e-05,110,main_effect
home_ownership_infrequent_sklearn,5.17368387445872e-06,111,main_effect
addr_state_infrequent_sklearn,7.555336419685269e-08,112,main_effect
