feature,original_feature_value,preprocessed_feature_value,ebm_contribution_log_odds,lower_bound,upper_bound,transformation_note
int_rate,5.345000000000001,-1.6819094213041006,-0.5746601916225833,-0.6264562151577774,-0.5228641680873892,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,5.615,-1.6242103718364533,-0.6119361277888954,-0.6430918257903849,-0.5807804297874058,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,5.9375,-1.5552920627500968,-0.6119361277888954,-0.6430918257903849,-0.5807804297874058,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.0325,-1.5349905453448134,-0.6027915416132268,-0.6300981400373808,-0.5754849431890727,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.1325,-1.5136205270234624,-0.5848173106468608,-0.6148323022374615,-0.5548023190562601,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.265000000000001,-1.4853052527476724,-0.5805037102702746,-0.6037346353593547,-0.5572727851811945,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.395,-1.4575242289299164,-0.5729033391543994,-0.5861270840930758,-0.559679594215723,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.495,-1.4361542106085654,-0.25649475329314003,-0.2955287617795856,-0.2174607448066945,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.58,-1.4179896950354172,-0.25151748731860324,-0.2924668408564215,-0.210568133780785,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.66,-1.4008936803783365,-0.25151748731860324,-0.2924668408564215,-0.210568133780785,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.685,-1.3955511757979988,-0.249561805490573,-0.28942198003266817,-0.20970163094847785,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.7775,-1.3757839088507493,-0.2463800185141971,-0.28230922556834565,-0.21045081146004857,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.88,-1.3538796400713646,-0.24128235940789916,-0.27673583413427527,-0.20582888468152305,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.907499999999999,-1.3480028850329933,-0.2396323188860185,-0.2761560067078979,-0.20310863106413907,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.930000000000001,-1.343194630910689,-0.16280360964154966,-0.19250385651820945,-0.13310336276488988,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.9625,-1.33624937495625,-0.16280360964154966,-0.19250385651820945,-0.13310336276488988,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,6.9925,-1.3298383694598448,-0.16110598436269907,-0.1888254726836742,-0.13338649604172395,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.050000000000001,-1.317550608925068,-0.15221439838784742,-0.17837505105847462,-0.12605374571722022,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.112499999999999,-1.304194347474224,-0.14367241457152016,-0.16791804179493575,-0.11942678734810458,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.1525,-1.2956463401456835,-0.1387678270849234,-0.16660341217305527,-0.11093224199679155,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.199999999999999,-1.2854955814430418,-0.13197023252972262,-0.16845510893980128,-0.09548535611964395,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.2375,-1.2774818245725352,-0.11853021671097079,-0.1517948751627334,-0.08526555825920817,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.262499999999999,-1.2721393199921975,-0.11853021671097079,-0.1517948751627334,-0.08526555825920817,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.31,-1.2619885612895558,-0.11170453062655875,-0.14713578159978197,-0.07627327965333554,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.3625,-1.2507693016708465,-0.0969395670503277,-0.14863266064004943,-0.04524647346060598,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.4125,-1.2400842925101712,-0.094803622067511,-0.1499219013617074,-0.0396853427733146,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.472499999999999,-1.2272622815173606,-0.14008302884086044,-0.17643232698104558,-0.10373373070067529,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.5525,-1.2101662668602797,-0.13746106339379882,-0.16969035321650933,-0.10523177357108833,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.6225000000000005,-1.195207254035334,-0.13581960986484518,-0.1689401675020739,-0.10269905222761645,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.6625000000000005,-1.1866592467067938,-0.1291381409719024,-0.16418529316737285,-0.09409098877643196,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.7,-1.1786454898362873,-0.1291381409719024,-0.16418529316737285,-0.09409098877643196,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.800000000000001,-1.1572754715149363,-0.1291381409719024,-0.16418529316737285,-0.09409098877643196,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.890000000000001,-1.1380424550257204,-0.06347430240135991,-0.08606323009006842,-0.04088537471265141,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.900000000000001,-1.1359054531935853,-0.06347430240135991,-0.08606323009006842,-0.04088537471265141,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.935,-1.1284259467811126,0.0781630168272338,0.0503944269414793,0.10593160671298829,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,7.972500000000001,-1.1204121899106059,0.08210967138399453,0.055278353546634205,0.10894098922135484,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.0275,-1.108658679833863,0.08210967138399453,0.055278353546634205,0.10894098922135484,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.129999999999999,-1.0867544110544785,-0.08714213940579557,-0.10765891427857391,-0.06662536453301723,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.2,-1.0717953982295327,-0.07333122161810383,-0.08449311151828211,-0.06216933171792556,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.282499999999999,-1.0541651331144184,-0.06429677821696404,-0.07349037879303717,-0.05510317764089091,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.3875,-1.0317266138769998,-0.06123436913134947,-0.06677909356030012,-0.055689644702398816,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.450000000000001,-1.0183703524261554,-0.0748846721271212,-0.09901348612602312,-0.050755858128219276,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.5075,-1.0060825918913787,-0.0748846721271212,-0.09901348612602312,-0.050755858128219276,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.594999999999999,-0.9873838258601968,-0.07273533713281471,-0.09824075324481764,-0.04722992102081179,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.6675,-0.9718905625772174,-0.07630996756155647,-0.09651725748289201,-0.056102677640220935,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.7875,-0.9462465405915963,-0.0711213517659437,-0.08664838193276257,-0.05559432159912482,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.905000000000001,-0.9211367690640089,-0.06799355790001528,-0.08312377634366971,-0.05286333945636085,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,8.942499999999999,-0.9131230121935024,-0.06416648582926474,-0.07524574446048149,-0.05308722719804798,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.04,-0.8922872443301852,-0.06328674905962789,-0.0738112872918436,-0.052762210827412184,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.14,-0.8709172260088344,-0.06660231402156126,-0.0768022599460895,-0.05640236809703302,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.175,-0.8634377195963616,-0.11484493556350828,-0.12839514038164804,-0.10129473074536853,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.309999999999999,-0.834588194862538,-0.11484493556350828,-0.12839514038164804,-0.10129473074536853,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.4525,-0.8041359187546129,-0.07188157086689573,-0.08807444634438721,-0.055688695389404234,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.535,-0.7865056536394984,-0.07188157086689573,-0.08807444634438721,-0.055688695389404234,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.6425,-0.7635328839440463,-0.0665665188033117,-0.08704038702141059,-0.04609265058521281,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.7075,-0.7496423720351681,-0.0665665188033117,-0.08704038702141059,-0.04609265058521281,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
int_rate,9.7425,-0.7421628656226953,0.01741023093357991,0.00772655838029169,0.02709390348686813,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
