Model,Feature_Group_ID,Feature_Group,AUC,Gini,KS_statistic,Average_Precision,Brier_score,Precision,Recall,F1_score,selected_threshold
LightGBM,borrower_financial,Borrower + Financial,0.7262994415984504,0.4525988831969008,0.32859577675536034,0.3973687535855615,0.14247742913933492,0.3329171338293752,0.6538711776187378,0.4411988180666948,0.21022167643063355
Explainable Boosting Machine,borrower_financial,Borrower + Financial,0.722253200863994,0.44450640172798805,0.3236445754072851,0.39255057578997365,0.14314319430085176,0.3271717670286278,0.6634803062909764,0.438240690236525,0.20502571289382068
Logistic Regression,borrower_financial,Borrower + Financial,0.7171874566282676,0.4343749132565351,0.31551029414658954,0.38594743806833054,0.14398116899049485,0.33468505001351717,0.6195886091787198,0.43460708079549243,0.2106791223049609
LightGBM,borrower_only,Borrower-only,0.6016418593202102,0.20328371864042039,0.1514632786349296,0.262970438164595,0.15661493096242604,0.23409889815413232,0.7432560932886242,0.3560537041476864,0.17558219106248685
Explainable Boosting Machine,borrower_only,Borrower-only,0.6009586849042976,0.2019173698085952,0.14871191266589978,0.2622006534569601,0.15666270073812427,0.23259442838129332,0.7609228767328963,0.35628251394291605,0.17486896614694006
Logistic Regression,borrower_only,Borrower-only,0.5993945588615862,0.19878911772317243,0.14705851987548985,0.26106939694132564,0.15676817900889217,0.23457087366173898,0.7313948250838297,0.3552174230086775,0.17843053120622793
LightGBM,combined,Combined,0.7266923585154056,0.4533847170308112,0.3297164898913306,0.398410354735422,0.14240060131660826,0.33411638536373617,0.654872128522096,0.4424793723792777,0.21131265923341302
Explainable Boosting Machine,combined,Combined,0.7230637817107346,0.4461275634214692,0.32353342869017165,0.3934618570671755,0.14303478080651624,0.33342865313125536,0.6419098143236074,0.43888584724883656,0.21362850543459055
Logistic Regression,combined,Combined,0.7189933255923536,0.43798665118470725,0.31692856060643854,0.38774383890873554,0.1436923338699744,0.33613627732870394,0.6201891797207347,0.4359772723274755,0.21933160023704265
LightGBM,financial_only,Financial-only,0.7210193108139369,0.4420386216278738,0.32196528040570543,0.38941136400505943,0.1433708723641073,0.3340545104350809,0.6336519693709024,0.4374762447738502,0.21592955450449272
Explainable Boosting Machine,financial_only,Financial-only,0.7167281542717083,0.43345630854341666,0.31404754973616544,0.38460630421138287,0.1440279864322658,0.31187285339080073,0.6953105450177669,0.4306037689065212,0.1928779621052232
Logistic Regression,financial_only,Financial-only,0.7114344594447544,0.4228689188895087,0.3069962309555805,0.37790884473491104,0.14487923644631276,0.32366940718303766,0.6364045843551374,0.429101707498144,0.20320693889733152
Logistic Regression,grade_only,Grade-only,0.6814766230395788,0.3629532460791576,0.273879397114483,0.3130959421966164,0.1487653294121809,0.28180354267310787,0.7532155547770382,0.4101543870167741,0.22645961570486536
LightGBM,grade_only,Grade-only,0.6814766230395788,0.3629532460791576,0.273879397114483,0.3130959421966164,0.14876548840667733,0.28180354267310787,0.7532155547770382,0.4101543870167741,0.22622382613666153
Explainable Boosting Machine,grade_only,Grade-only,0.6814766230395788,0.3629532460791576,0.273879397114483,0.3130959421966164,0.148767025351018,0.28180354267310787,0.7532155547770382,0.4101543870167741,0.22664212771417677
