feature,token_embedding_norm
home_ownership_OWN,0.8230531
addr_state_NV,0.7915608
addr_state_AL,0.79109734
purpose_home_improvement,0.75339586
grade_C,0.7497398
verification_status_Verified,0.7480461
addr_state_FL,0.7475818
addr_state_NJ,0.74348694
addr_state_AK,0.72937936
purpose_major_purchase,0.72683275
addr_state_UT,0.72530764
addr_state_OK,0.7236683
addr_state_NM,0.7201415
verification_status_Not Verified,0.71654403
addr_state_SC,0.7093932
addr_state_PA,0.7068313
addr_state_CA,0.7038025
addr_state_WI,0.70310414
addr_state_HI,0.6962376
addr_state_NY,0.69378275
purpose_vacation,0.67686695
purpose_renewable_energy,0.6762223
addr_state_AR,0.67560613
addr_state_LA,0.67141914
addr_state_NH,0.67030036
addr_state_WA,0.6655722
addr_state_DC,0.66547775
addr_state_OR,0.65802467
addr_state_IL,0.6562489
grade_A,0.6560057
purpose_medical,0.6551581
disbursement_method_DirectPay,0.65344155
addr_state_CO,0.6509355
grade_D,0.646676
purpose_house,0.6447528
addr_state_MD,0.6445694
grade_E,0.6413745
application_type_Joint App,0.64113075
grade_G,0.64064366
addr_state_CT,0.6401765
