model,decile,loans,defaults,default_rate,lift,cumulative_gain,cumulative_population,min_score,max_score,avg_score
Logistic Regression,1,10000,4641,0.4641,2.322706571242681,0.23227065712426806,0.1,0.3802294051625027,0.8257812799273275,0.4669345071224914
Logistic Regression,2,10000,3405,0.3405,1.704118912967319,0.40268254842099993,0.2,0.2997111823712175,0.38022643373702175,0.33583080940561344
Logistic Regression,3,10000,2725,0.2725,1.3637956058255345,0.5390621090035533,0.3,0.2476484843972803,0.29970599163799766,0.27220887473185224
Logistic Regression,4,10000,2279,0.2279,1.1405835543766578,0.6531204644412192,0.4,0.20761407642472907,0.24764566662025378,0.22692096647498428
Logistic Regression,5,10000,1947,0.1947,0.9744257044191984,0.750563034883139,0.5,0.17358893687971166,0.20761384336092803,0.19022727917720111
Logistic Regression,6,10000,1573,0.1573,0.7872478854912167,0.8292878234322606,0.6,0.1437282393621443,0.17358650233129244,0.1584508196209331
Logistic Regression,7,10000,1286,0.1286,0.6436114308593164,0.8936489665181923,0.7,0.11516293927950083,0.1437280696888173,0.1293821645067821
Logistic Regression,8,10000,1018,0.1018,0.5094840098093188,0.9445973674991242,0.8,0.08643938412471106,0.11516136507886805,0.10088207725181385
Logistic Regression,9,10000,727,0.0727,0.3638456533707022,0.9809819328361944,0.9,0.05707221396603175,0.08643835165400149,0.0716535584849724
Logistic Regression,10,10000,380,0.038,0.19018067163805616,1.0,1.0,0.00806613431667158,0.05706142059755893,0.04058648867983602
Probit Regression,1,10000,4637,0.4637,2.320704669435964,0.23207046694359643,0.1,0.37865305448610637,0.8144705848965166,0.4610429017995779
Probit Regression,2,10000,3404,0.3404,1.7036184375156398,0.4024323106951604,0.2,0.3011934799801197,0.37862572056137744,0.33605586291601375
Probit Regression,3,10000,2745,0.2745,1.3738051148591164,0.5398128221810721,0.3,0.25025470176945586,0.3011883086771312,0.27412807854065263
Probit Regression,4,10000,2245,0.2245,1.1235673890195688,0.6521695610830289,0.4,0.2101055910602394,0.2502488426901805,0.22955543463862432
Probit Regression,5,10000,1963,0.1963,0.9824333116460638,0.7504128922476353,0.5,0.17591511909678548,0.21010077085806397,0.19280789073366728
Probit Regression,6,10000,1574,0.1574,0.7877483609428959,0.8291877283419248,0.6,0.14536989416687354,0.17590920636488772,0.1604045317435964
Probit Regression,7,10000,1289,0.1289,0.6451128572143536,0.8936990140633602,0.7,0.11582871237272346,0.14536989245947327,0.13040116148790104
Probit Regression,8,10000,1025,0.1025,0.5129873379710725,0.9449977478604674,0.8,0.08613081741545085,0.11582723831704754,0.10107230190293565
Probit Regression,9,10000,719,0.0719,0.35984184975726946,0.9809819328361944,0.9,0.0552175610863813,0.08613050638280756,0.0707986921482201
Probit Regression,10,10000,380,0.038,0.19018067163805616,1.0,1.0,0.0034337483215496566,0.05521397132765881,0.036826930837208734
XGBoost,1,10000,4631,0.4631,2.3177018167258896,0.23177018167258895,0.1,0.3826035260832878,0.6813232910169359,0.46163699203154257
XGBoost,2,10000,3418,0.3418,1.7106250938391472,0.40283269105650366,0.2,0.30054969469099685,0.3826016157663404,0.33760149383029325
XGBoost,3,10000,2660,0.266,1.3312647014663932,0.535959161203143,0.3,0.24778957817839353,0.30054916449942926,0.2727631024778463
XGBoost,4,10000,2305,0.2305,1.1535959161203144,0.6513187528151744,0.4,0.20791646673941164,0.24778837830928402,0.22706908191750555
XGBoost,5,10000,1889,0.1889,0.9453981282218108,0.7458585656373555,0.5,0.17503577458527309,0.20791455213002003,0.19109090701715026
XGBoost,6,10000,1586,0.1586,0.7937540663630449,0.82523397227366,0.6,0.1449209264635265,0.17502960158353467,0.15983984749628663
XGBoost,7,10000,1299,0.1299,0.6501176117311446,0.8902457334467745,0.7,0.11740144023206424,0.14492026852809461,0.13114038439872264
XGBoost,8,10000,1065,0.1065,0.5330063560382363,0.9435463690505981,0.8,0.0883476751299412,0.11738115238069081,0.1032149971046298
XGBoost,9,10000,768,0.0768,0.38436514688954504,0.9819828837395526,0.9,0.05487652656942405,0.08834566852197398,0.07140055074528978
XGBoost,10,10000,360,0.036,0.18017116260447424,1.0,1.0,0.012969966670642982,0.054870232878912795,0.0394001987807331
LightGBM,1,10000,4820,0.482,2.4122916770932386,0.24122916770932384,0.1,0.39156911986691056,0.7710562465220052,0.47702172752616134
LightGBM,2,10000,3441,0.3441,1.7221360292277665,0.4134427706321005,0.2,0.305121131940624,0.391556270181024,0.34447693542166324
LightGBM,3,10000,2710,0.271,1.356288474050348,0.5490716180371353,0.3,0.25050574746631693,0.30511774329392466,0.27616768778297807
LightGBM,4,10000,2276,0.2276,1.1390821280216206,0.6629798308392973,0.4,0.20790480390577043,0.2504811758412932,0.22847819317440166
LightGBM,5,10000,1897,0.1897,0.9494019318352436,0.7579200240228217,0.5,0.17247879766151028,0.20790438494839936,0.18972660623434698
LightGBM,6,10000,1530,0.153,0.7657274410690156,0.8344927681297233,0.6,0.14029110932424452,0.17247609893632612,0.15612541678966194
LightGBM,7,10000,1269,0.1269,0.6351033481807719,0.8980031029478004,0.7,0.11060297394830253,0.14028991255238715,0.12521850659154166
LightGBM,8,10000,1016,0.1016,0.5084830589059607,0.9488514088383965,0.8,0.08185605125703015,0.1105988055154239,0.09624942409501906
LightGBM,9,10000,691,0.0691,0.34582853711025474,0.9834342625494219,0.9,0.05174638395755487,0.08185407018227359,0.06709242994961427
LightGBM,10,10000,331,0.0331,0.1656573745057805,1.0,1.0,0.00469097450490864,0.05174402896668764,0.03373842285649523
CatBoost,1,10000,4689,0.4689,2.3467293929232773,0.23467293929232771,0.1,0.3841353734367242,0.7417033939559038,0.46868766390672373
CatBoost,2,10000,3438,0.3438,1.720634602872729,0.4067363995796006,0.2,0.30199478445021044,0.3841214567562803,0.33899477830304797
CatBoost,3,10000,2740,0.274,1.371302737600721,0.5438666733396726,0.3,0.24983533783017514,0.3019938248337872,0.2744976131403552
CatBoost,4,10000,2267,0.2267,1.1345778489565088,0.6573244582353236,0.4,0.20919266504452916,0.24982423775034043,0.22873663733832655
CatBoost,5,10000,1883,0.1883,0.9423952755117362,0.7515639857864972,0.5,0.1746602293965351,0.20918692924847845,0.19169583360874876
CatBoost,6,10000,1524,0.1524,0.7627245883589411,0.8278364446223913,0.6,0.14361460378617008,0.1746583866025731,0.1590001821126977
CatBoost,7,10000,1352,0.1352,0.6766428106701367,0.895500725689405,0.7,0.11413627251474426,0.14361260998708114,0.1285772756267728
CatBoost,8,10000,1009,0.1009,0.5049797307442071,0.9459986987638256,0.8,0.08450915904760932,0.11413604348735566,0.09956935280721115
CatBoost,9,10000,721,0.0721,0.3608428006606276,0.9820829788298884,0.9,0.052664806113946715,0.08450814774121311,0.06841582388979603
CatBoost,10,10000,358,0.0358,0.17917021170111605,1.0,1.0,0.008877661220029294,0.052664023053267214,0.03675549850837858
Explainable Boosting Machine,1,10000,4749,0.4749,2.3767579200240228,0.23767579200240227,0.1,0.3848613046356828,0.8248492278761657,0.4731176561584437
Explainable Boosting Machine,2,10000,3352,0.3352,1.677593714028327,0.405435163405235,0.2,0.3029607959239242,0.38484996043069974,0.3398314862956582
Explainable Boosting Machine,3,10000,2815,0.2815,1.4088383964766529,0.5463190030529003,0.3,0.2497544976192702,0.3029531262101879,0.2750282988836631
Explainable Boosting Machine,4,10000,2238,0.2238,1.120064060857815,0.6583254091386818,0.4,0.20764274854590622,0.2497456714156881,0.2280889295517275
Explainable Boosting Machine,5,10000,1901,0.1901,0.9514038336419599,0.7534657925028777,0.5,0.172997009813573,0.20763838043222202,0.18994676467627875
Explainable Boosting Machine,6,10000,1592,0.1592,0.7967569190731195,0.8331414844101896,0.6,0.1417235281991853,0.17299368001975557,0.15708998573447194
Explainable Boosting Machine,7,10000,1296,0.1296,0.6486161853761073,0.8980031029478004,0.7,0.11256886752966548,0.14172352732313745,0.12694270570417937
