feature,importance
int_rate,679
dti,497
annual_inc,477
avg_cur_bal,454
credit_history_months,435
loan_amnt,432
installment,394
acc_open_past_24mths,369
total_acc,362
fico_score,345
revol_bal,337
bc_open_to_buy,326
total_bc_limit,316
revol_util,311
bc_util,262
total_il_high_credit_limit,257
mort_acc,203
total_bal_ex_mort,191
emp_length_num,187
open_acc,179
term_months,177
inq_last_6mths,132
emp_length_missing,132
delinq_2yrs,99
home_ownership_RENT,78
home_ownership_MORTGAGE,59
addr_state_OR,58
application_type_Individual,58
initial_list_status_f,56
addr_state_CO,55
addr_state_WA,55
purpose_small_business,55
addr_state_NY,42
verification_status_Not Verified,41
verification_status_Source Verified,36
grade_B,35
grade_A,34
grade_C,30
addr_state_GA,29
addr_state_SC,28
