feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
const,-1.4560724152206128,1.4560724152206128,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.23315019596433473
home_ownership_MORTGAGE,-0.6531891909855013,0.6531891909855013,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.5203835251036396
purpose_small_business,0.6141334819638214,0.6141334819638214,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.8480545329641158
verification_status_Verified,0.5665059293508135,0.5665059293508135,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.7620993828391478
addr_state_DC,-0.5654366891717839,0.5654366891717839,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.5681120042203008
purpose_wedding,-0.495320147157207,0.495320147157207,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6093757861386309
home_ownership_OWN,-0.46394393096153896,0.46394393096153896,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6287988096233689
addr_state_OR,-0.44753142222515613,0.44753142222515613,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6392041307186492
verification_status_Source Verified,0.43001086101233044,0.43001086101233044,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.5372742198118687
addr_state_WV,-0.4106704111431431,0.4106704111431431,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6632054807193234
addr_state_VT,-0.4095680053376797,0.4095680053376797,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6639370054359457
addr_state_MS,0.3881847867957612,0.3881847867957612,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.4743021906966154
addr_state_NH,-0.3646974769527611,0.3646974769527611,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6944066931338952
addr_state_ME,-0.34961948462572745,0.34961948462572745,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.704956285393971
application_type_Joint App,0.3306867070509174,0.3306867070509174,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3919236441273204
addr_state_WA,-0.32540066244169136,0.32540066244169136,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.7222379220544284
addr_state_OK,0.31527784437975626,0.31527784437975626,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3706400827005496
addr_state_CO,-0.29242415606748734,0.29242415606748734,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.7464518567332737
addr_state_NE,0.2911475984247834,0.2911475984247834,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3379620504678722
addr_state_AR,0.27845346178043695,0.27845346178043695,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3210851230158427
purpose_moving,0.26618502541825195,0.26618502541825195,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3049764901716614
addr_state_UT,-0.26071287384099273,0.26071287384099273,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.7705021191714546
home_ownership_RENT,-0.25974978610541516,0.25974978610541516,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.7712445377623999
addr_state_AL,0.25653830368025443,0.25653830368025443,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2924482703768638
purpose_medical,0.22993848272267192,0.22993848272267192,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2585225866650804
addr_state_SD,0.22928125675799463,0.22928125675799463,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2576957246913338
purpose_debt_consolidation,0.22801395014816409,0.22801395014816409,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2561028481309624
addr_state_RI,-0.20607616624895134,0.20607616624895134,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8137710920308117
purpose_other,0.1833863449230566,0.1833863449230566,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2012784262606884
addr_state_KS,-0.17560832017059144,0.17560832017059144,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8389465174216134
addr_state_NM,0.17521351334732022,0.17521351334732022,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1915005907347185
addr_state_LA,0.16450744364974879,0.16450744364974879,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.178812344185159
addr_state_IN,0.15640770570539284,0.15640770570539284,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1693028373581345
purpose_home_improvement,0.1546793977863879,0.1546793977863879,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1672836673809572
addr_state_WY,-0.15074918133949916,0.15074918133949916,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8600633915559889
addr_state_SC,-0.13789727876186295,0.13789727876186295,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8711881766778768
addr_state_CT,-0.1331615929571664,0.1331615929571664,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8753236345452221
addr_state_NC,0.1190933536359233,0.1190933536359233,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1264750739238738
addr_state_MN,0.1025350834395738,0.1025350834395738,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1079761728430468
addr_state_OH,0.10110066077100467,0.10110066077100467,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1063880060280402
purpose_vacation,0.09718647700505416,0.09718647700505416,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1020658644025285
addr_state_KY,0.09451969393727837,0.09451969393727837,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0991308091330576
addr_state_NV,0.08821906080149002,0.08821906080149002,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0922273600243033
addr_state_MO,0.087589970313796,0.087589970313796,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.091540466263532
addr_state_TN,0.07854932664263993,0.07854932664263993,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0817167112999824
addr_state_WI,-0.07841869727923924,0.07841869727923924,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9245772275199978
emp_length_missing,0.07699703768945643,0.07699703768945643,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0800388769773088
addr_state_FL,0.07120168331156566,0.07120168331156566,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0737977711212732
addr_state_GA,-0.06793644361688855,0.06793644361688855,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9343198536807704
addr_state_IL,-0.0678515590995112,0.0678515590995112,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9343991663367869
purpose_major_purchase,0.06640977572355414,0.06640977572355414,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0686645402404469
addr_state_CA,-0.06416812629032628,0.06416812629032628,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9378473094861435
purpose_educational,0.06310378927207848,0.06310378927207848,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0651373833282398
addr_state_PA,0.061660670579807064,0.061660670579807064,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0636013722502444
addr_state_MI,0.06085370682163562,0.06085370682163562,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.062743430700123
addr_state_NY,0.06047218862852088,0.06047218862852088,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0623380520812737
addr_state_MA,-0.05870834827055238,0.05870834827055238,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9429817513142481
purpose_house,0.04737406535725768,0.04737406535725768,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.048514148551755
addr_state_ND,0.04041184505088702,0.04041184505088702,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0412395152400284
home_ownership_OTHER,-0.04034566834039485,0.04034566834039485,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9604573820555417
addr_state_HI,-0.03152103684372249,0.03152103684372249,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9689705721568317
addr_state_DE,-0.029878636005164314,0.029878636005164314,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9705633178424717
addr_state_VA,-0.02899725974898334,0.02899725974898334,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9714191263952063
addr_state_MD,0.028742076054079968,0.028742076054079968,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.029159115459866
addr_state_AZ,-0.027394873345531458,0.027394873345531458,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9729769629901538
purpose_renewable_energy,0.021418886956673426,0.021418886956673426,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0216499178423568
addr_state_NJ,0.019774445368572948,0.019774445368572948,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.01997125483889
purpose_credit_card,-0.018221079181718097,0.018221079181718097,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9819439210012364
addr_state_MT,0.01782426469189984,0.01782426469189984,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0179840649264327
addr_state_ID,0.012737506707903605,0.012737506707903605,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.012818974276905
home_ownership_NONE,-0.009780452937948976,0.009780452937948976,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9902672201438507
addr_state_TX,0.007606258855673792,0.007606258855673792,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.007635259925815
emp_length_num,-0.00493844270477083,0.00493844270477083,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9950737313548601
addr_state_IA,0.0015195293113992106,0.0015195293113992106,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0015206843810434
