feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
home_ownership_MORTGAGE,-0.5061044027346436,0.5061044027346436,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6028394301332167
purpose_wedding,-0.493433182012691,0.493433182012691,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.610526742572812
purpose_small_business,0.48189119072445763,0.48189119072445763,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.6191335989628377
home_ownership_OWN,-0.42452647450942893,0.42452647450942893,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6540794350958615
term_months,0.32509952553525484,0.32509952553525484,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3841683992264708
home_ownership_RENT,-0.29596857709721863,0.29596857709721863,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.7438108003474315
int_rate,0.2818194716132135,0.2818194716132135,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3255394008958317
purpose_moving,0.2376313521725053,0.2376313521725053,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2682415721362248
disbursement_method_DirectPay,-0.21450486785238546,0.21450486785238546,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8069408836532346
acc_open_past_24mths,0.20006400447919964,0.20006400447919964,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2214809359094352
installment,0.19464732898958012,0.19464732898958012,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.214882457105538
dti,0.1916375425518803,0.1916375425518803,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2112314175435948
purpose_house,-0.18844724575082525,0.18844724575082525,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8282441956868328
purpose_medical,0.16881212299562415,0.16881212299562415,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.183897690876538
fico_score,-0.1595025776882638,0.1595025776882638,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8525677697396566
total_acc,-0.15619005740957548,0.15619005740957548,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8553966004587562
purpose_vacation,0.15023175568497713,0.15023175568497713,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1621035356229108
total_il_high_credit_limit,-0.1451704192492503,0.1451704192492503,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8648748892215514
verification_status_Source Verified,0.13673991389530124,0.13673991389530124,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.146529913239598
emp_length_missing,0.11496083574885964,0.11496083574885964,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1218295010992567
purpose_educational,0.11288942711217577,0.11288942711217577,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.119508138856721
total_bal_ex_mort,0.11175626596079048,0.11175626596079048,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1182402742082584
purpose_credit_card,-0.10980880812677676,0.10980880812677676,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8960054278773059
initial_list_status_w,0.0963993455355975,0.0963993455355975,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1011987349964363
mort_acc,-0.08120622991311105,0.08120622991311105,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.922003527129209
avg_cur_bal,-0.07910818003739689,0.07910818003739689,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9239399671782921
application_type_Joint App,-0.07906612865387758,0.07906612865387758,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9239788209491223
verification_status_Verified,0.07842131527449298,0.07842131527449298,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0815782481264407
annual_inc,-0.0755448802586972,0.0755448802586972,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9272381149136747
inq_last_6mths,0.07346388705244998,0.07346388705244998,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0762296701444738
delinq_2yrs,0.07247498374952126,0.07247498374952126,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0751659091340369
purpose_renewable_energy,0.06896905260826655,0.06896905260826655,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0714030515053383
revol_bal,-0.06840885178995373,0.06840885178995373,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9338785775850582
purpose_home_improvement,0.06560540251508853,0.06560540251508853,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0678052807444287
open_acc,0.06261099923141496,0.06261099923141496,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0646126235426148
bc_open_to_buy,-0.05835572911359854,0.05835572911359854,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9433143233766135
purpose_other,0.057996408908933206,0.057996408908933206,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0597111901840661
purpose_major_purchase,0.05617691470755394,0.05617691470755394,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0577848048732919
purpose_debt_consolidation,-0.052058002472739215,0.052058002472739215,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9492738050180464
revol_util,0.04754437394253008,0.04754437394253008,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0486927347199801
