feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
home_ownership_MORTGAGE,-0.6531891909855013,0.6531891909855013,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.5203835251036396
purpose_small_business,0.6141334819638214,0.6141334819638214,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.8480545329641158
verification_status_Verified,0.5665059293508135,0.5665059293508135,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.7620993828391478
purpose_wedding,-0.495320147157207,0.495320147157207,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6093757861386309
home_ownership_OWN,-0.46394393096153896,0.46394393096153896,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6287988096233689
verification_status_Source Verified,0.43001086101233044,0.43001086101233044,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.5372742198118687
application_type_Joint App,0.3306867070509174,0.3306867070509174,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3919236441273204
purpose_moving,0.26618502541825195,0.26618502541825195,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3049764901716614
home_ownership_RENT,-0.25974978610541516,0.25974978610541516,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.7712445377623999
purpose_medical,0.22993848272267192,0.22993848272267192,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2585225866650804
purpose_debt_consolidation,0.22801395014816409,0.22801395014816409,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2561028481309624
purpose_other,0.1833863449230566,0.1833863449230566,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2012784262606884
purpose_home_improvement,0.1546793977863879,0.1546793977863879,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1672836673809572
purpose_vacation,0.09718647700505416,0.09718647700505416,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1020658644025285
emp_length_missing,0.07699703768945643,0.07699703768945643,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0800388769773088
purpose_major_purchase,0.06640977572355414,0.06640977572355414,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0686645402404469
purpose_educational,0.06310378927207848,0.06310378927207848,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0651373833282398
purpose_house,0.04737406535725768,0.04737406535725768,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.048514148551755
home_ownership_OTHER,-0.04034566834039485,0.04034566834039485,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9604573820555417
purpose_renewable_energy,0.021418886956673426,0.021418886956673426,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0216499178423568
purpose_credit_card,-0.018221079181718097,0.018221079181718097,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9819439210012364
home_ownership_NONE,-0.009780452937948976,0.009780452937948976,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9902672201438507
emp_length_num,-0.00493844270477083,0.00493844270477083,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9950737313548601
