feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
grade_E,0.7085831709307527,0.7085831709307527,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,2.0311114812628004
grade_D,0.6987668311636666,0.6987668311636666,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,2.011270940920629
grade_G,0.6863778756218806,0.6863778756218806,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.9865071103902368
grade_F,0.6679955336769353,0.6679955336769353,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.9503240410682605
home_ownership_MORTGAGE,-0.6126885545107308,0.6126885545107308,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.5418920026442642
grade_C,0.6113220125845282,0.6113220125845282,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.842866081237616
purpose_wedding,-0.5481644773333166,0.5481644773333166,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.5780097873432483
home_ownership_OWN,-0.5346381285350585,0.5346381285350585,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.5858812655003928
purpose_small_business,0.5015470651750059,0.5015470651750059,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.6512739240127128
home_ownership_RENT,-0.40466199880855946,0.40466199880855946,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.6672022879188186
grade_B,0.373219015529645,0.373219015529645,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.4524024036827428
term_months,0.34447956295581583,0.34447956295581583,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.4112552589963456
installment,0.29901636457476194,0.29901636457476194,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3485316914400272
purpose_moving,0.2322645037582057,0.2322645037582057,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.261453343855421
acc_open_past_24mths,0.18911860682675105,0.18911860682675105,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.208184242884303
dti,0.1824759193300742,0.1824759193300742,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.2001852493407548
purpose_medical,0.15836376803310018,0.15836376803310018,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1715923050287096
purpose_vacation,0.15792355849385634,0.15792355849385634,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1710766724214543
purpose_educational,0.15394975550781803,0.15394975550781803,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.166432278508582
disbursement_method_DirectPay,-0.14905207462584427,0.14905207462584427,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8615242501778279
total_acc,-0.14699353379833308,0.14699353379833308,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8632995596673232
total_il_high_credit_limit,-0.1441447987603263,0.1441447987603263,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8657623776636623
verification_status_Source Verified,0.13242347409834818,0.13242347409834818,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1415916514159543
int_rate,0.13181046190981272,0.13181046190981272,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1408920562713893
loan_amnt,-0.13082398689038935,0.13082398689038935,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8773721898084901
fico_score,-0.12917005410349588,0.12917005410349588,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8788245051244152
emp_length_missing,0.11430904524687142,0.11430904524687142,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.121098541527721
total_bal_ex_mort,0.11130585685709657,0.11130585685709657,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.117736722019396
purpose_house,-0.10797823726205642,0.10797823726205642,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8976471314771542
initial_list_status_w,0.09267733654698428,0.09267733654698428,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0971076815981893
purpose_renewable_energy,0.08440775144393291,0.08440775144393291,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0880724664882944
purpose_major_purchase,0.0818751960612611,0.0818751960612611,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.085320349122346
mort_acc,-0.08181107319088995,0.08181107319088995,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9214460281104995
purpose_credit_card,-0.07894767707057296,0.07894767707057296,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9240882741857304
verification_status_Verified,0.07823554262098226,0.07823554262098226,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0813773391275834
avg_cur_bal,-0.07589121618814157,0.07589121618814157,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9269170346433562
annual_inc,-0.07062441662754243,0.07062441662754243,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9318117994319226
delinq_2yrs,0.06993700050371143,0.06993700050371143,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0724406159073459
purpose_home_improvement,0.06954004260589866,0.06954004260589866,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.072014986618969
revol_bal,-0.06927961449310349,0.06927961449310349,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9330657448939816
