feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
int_rate,0.3262741639067073,0.3262741639067073,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3857952518354462
term_months,0.2793521965027493,0.2793521965027493,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.3222729617830458
acc_open_past_24mths,0.19633262057552792,0.19633262057552792,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.216931614517283
dti,0.19009235825693704,0.19009235825693704,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.20936128699993
total_il_high_credit_limit,-0.17232332855035457,0.17232332855035457,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.841706981269088
fico_score,-0.15862804509287612,0.15862804509287612,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8533136941641417
total_acc,-0.149558273666428,0.149558273666428,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8610882577877228
total_bal_ex_mort,0.14469879576120936,0.14469879576120936,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1556914186842457
avg_cur_bal,-0.12284610959247713,0.12284610959247713,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.884399752727427
mort_acc,-0.12147063818915747,0.12147063818915747,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.8856170562876045
installment,0.10338365399812893,0.10338365399812893,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.1089167678270662
initial_list_status_w,0.0989340931509051,0.0989340931509051,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.103993536425707
revol_bal,-0.08442395882942363,0.08442395882942363,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9190415377141667
delinq_2yrs,0.0705872945253935,0.0705872945253935,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0731382444357256
inq_last_6mths,0.06837895220352493,0.06837895220352493,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0707710026354913
loan_amnt,0.06589723214453648,0.06589723214453648,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0681169434378233
annual_inc,-0.06582449437800776,0.06582449437800776,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.936295174939522
bc_open_to_buy,-0.06291406545635446,0.06291406545635446,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9390241648350824
disbursement_method_DirectPay,-0.052629575473615846,0.052629575473615846,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9487313807729527
total_bc_limit,-0.035557006037405615,0.035557006037405615,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9650677179754562
credit_history_months,0.03524666746394721,0.03524666746394721,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0358751939954538
pub_rec,0.03508106257735299,0.03508106257735299,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.03570366220507
open_acc,0.03190849836187396,0.03190849836187396,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0324230325842594
revol_util,0.0297212836037266,0.0297212836037266,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,1.0301673693998834
pub_rec_bankruptcies,-0.027105692841173167,0.027105692841173167,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.9732583696457385
bc_util,-0.024140242147613497,0.024140242147613497,full_training_fitted_prediction_model,320000,sklearn_logistic_regression_full_training,0.976148802953565
