Model,AUC,Gini,KS_statistic,Average_Precision,Brier_score,Precision,Recall,F1_score,selected_threshold
LightGBM,0.7266923585154056,0.4533847170308112,0.3297164898913306,0.398410354735422,0.14240060131660826,0.33411638536373617,0.654872128522096,0.4424793723792777,0.21131265923341302
MLP Neural Network,0.7263691722347618,0.45273834446952366,0.32907991368715767,0.39944751211119445,0.14240343330714506,0.3393515404278219,0.6311996396576748,0.4413957232352221,0.21764173008465112
FT-Transformer,0.7240037944944335,0.44800758898886706,0.3246913176973379,0.39598651304231614,0.142833963728649,0.3337489609310058,0.6430108603173015,0.4394206269131453,0.21570727602230194
Explainable Boosting Machine,0.7230637817107346,0.4461275634214692,0.32353342869017165,0.3934618570671755,0.14303478080651624,0.33342865313125536,0.6419098143236074,0.43888584724883656,0.21362850543459055
CatBoost,0.7215265273201382,0.44305305464027644,0.3239511989457381,0.39101399039554785,0.14328395748797818,0.3288499661238112,0.6558730794254541,0.43805990105629095,0.20972271899154007
Logistic Regression,0.7189933255923536,0.43798665118470725,0.31692856060643854,0.38774383890873554,0.1436923338699744,0.33613627732870394,0.6201891797207347,0.4359772723274755,0.21933160023704265
Linear SVM,0.7189454495949034,0.4378908991898067,0.31766350879784766,0.3869345518745448,0.1437451960358302,0.3295111958566312,0.6400080076072269,0.43503997278448714,0.21183678352961222
Probit Regression,0.7189250000199674,0.4378500000399348,0.31687492863155575,0.38735383504445986,0.14371839870379208,0.3259622849415241,0.6514188479055102,0.4345039391106957,0.21038232079474717
Random Forest,0.7180897572210214,0.43617951444204284,0.31745834694874053,0.3861803102072001,0.1438702450447539,0.34325586793164475,0.5921125068815375,0.4345797825448134,0.23409728951352518
XGBoost,0.7167529319313813,0.4335058638627627,0.3179902335379422,0.3837241359518313,0.14408012937632403,0.335144486794799,0.6204894649917422,0.4352160634675466,0.21884775203306844
