feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator
const,-0.9525783555299107,0.9525783555299107,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_E,0.32811133944163395,0.32811133944163395,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_G,0.32588744473258,0.32588744473258,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
home_ownership_MORTGAGE,-0.3215901034615761,0.3215901034615761,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_D,0.320041804729213,0.320041804729213,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_F,0.30771357331234334,0.30771357331234334,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_small_business,0.30333436574059297,0.30333436574059297,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
home_ownership_OWN,-0.27386595052788976,0.27386595052788976,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_C,0.27087493823985065,0.27087493823985065,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
addr_state_OR,-0.24294778688964605,0.24294778688964605,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
addr_state_ME,-0.22760779437003867,0.22760779437003867,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_wedding,-0.2057758855772657,0.2057758855772657,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
term_months,0.20499214080122927,0.20499214080122927,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
home_ownership_RENT,-0.20131667204341527,0.20131667204341527,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
addr_state_VT,-0.19878562261586177,0.19878562261586177,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
addr_state_WV,-0.19658364987579494,0.19658364987579494,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
installment,0.18623407985420898,0.18623407985420898,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_educational,0.18159876826285412,0.18159876826285412,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
addr_state_WA,-0.17120244905428827,0.17120244905428827,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
addr_state_OK,0.16830651427551344,0.16830651427551344,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
