feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator
grade_E,0.32811133944163395,0.32811133944163395,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_G,0.32588744473258,0.32588744473258,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
home_ownership_MORTGAGE,-0.3215901034615761,0.3215901034615761,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_D,0.320041804729213,0.320041804729213,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_F,0.30771357331234334,0.30771357331234334,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_small_business,0.30333436574059297,0.30333436574059297,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
home_ownership_OWN,-0.27386595052788976,0.27386595052788976,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_C,0.27087493823985065,0.27087493823985065,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_wedding,-0.2057758855772657,0.2057758855772657,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
term_months,0.20499214080122927,0.20499214080122927,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
home_ownership_RENT,-0.20131667204341527,0.20131667204341527,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
installment,0.18623407985420898,0.18623407985420898,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_educational,0.18159876826285412,0.18159876826285412,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
grade_B,0.14863287910733905,0.14863287910733905,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_moving,0.14833048024543286,0.14833048024543286,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_renewable_energy,0.13332225551707022,0.13332225551707022,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_medical,0.11768413307110709,0.11768413307110709,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_vacation,0.10506180086738436,0.10506180086738436,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
acc_open_past_24mths,0.10484307488150128,0.10484307488150128,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
dti,0.10380890589040152,0.10380890589040152,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
loan_amnt,-0.09437562734205268,0.09437562734205268,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
disbursement_method_DirectPay,-0.08590308944242275,0.08590308944242275,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
int_rate,0.08552105294540016,0.08552105294540016,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
total_acc,-0.08253319674963007,0.08253319674963007,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
total_il_high_credit_limit,-0.07962626501545039,0.07962626501545039,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
fico_score,-0.07255572407160224,0.07255572407160224,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
verification_status_Source Verified,0.0711074623928728,0.0711074623928728,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
emp_length_missing,0.06674098282662189,0.06674098282662189,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_home_improvement,0.061075245869817996,0.061075245869817996,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_major_purchase,0.060148428476299864,0.060148428476299864,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
total_bal_ex_mort,0.059316630562015187,0.059316630562015187,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
purpose_other,0.05661641394966196,0.05661641394966196,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
initial_list_status_w,0.05230729189030315,0.05230729189030315,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
mort_acc,-0.046284975609109956,0.046284975609109956,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
verification_status_Verified,0.040693111221192464,0.040693111221192464,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
avg_cur_bal,-0.040079550373918374,0.040079550373918374,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
inq_last_6mths,0.039642759393807,0.039642759393807,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
delinq_2yrs,0.03960138194064431,0.03960138194064431,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
annual_inc,-0.03766523481195812,0.03766523481195812,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
open_acc,0.037422949485207316,0.037422949485207316,full_training_fitted_prediction_model,320000,statsmodels_regularized_probit_full_training
