run_id,split,feature_set,model,threshold,threshold_source,validation_roc_auc,validation_avg_precision,validation_brier_score,raw_validation_brier_score,roc_auc,gini,ks_statistic,avg_precision,brier_score,raw_brier_score,raw_probability_mean,calibrated_probability_mean,probability_calibration,calibration_slope,calibration_intercept,precision,recall,f1,tn,fp,fn,tp,training_rows,inference_rows,training_device,prediction_estimator,coefficient_source,coefficient_training_rows,supplementary_uncertainty_rows,epochs_trained,best_validation_auc_internal,raw_probability_output,feature_group_label
run_20260806T154718Z,random,borrower_financial,LightGBM,0.21022167643063355,validation_best_f1,0.7273168288701886,0.3992256658897797,0.14227150972481614,0.21014498187102199,0.7262994415984504,0.4525988831969008,0.32859577675536034,0.3973687535855615,0.14247742913933492,0.21013648849017397,0.44876754396240437,0.19941117303989195,validation_sigmoid_on_raw_log_odds,1.0260794187418356,-1.367209208828158,0.3329171338293752,0.6538711776187378,0.4411988180666948,53840,26179,6916,13065,320000,,CPU,,,,,,,native,Borrower + Financial
run_20260806T154718Z,random,borrower_financial,Explainable Boosting Machine,0.20502571289382068,validation_best_f1,0.7225828899041808,0.39396586103978515,0.14299951220177376,0.14299951852676876,0.722253200863994,0.44450640172798805,0.3236445754072851,0.39255057578997365,0.14314319430085176,0.14314352548660703,0.19947446035684419,0.19948288078546997,validation_sigmoid_on_raw_log_odds,0.9963397555341899,-0.004348068095699377,0.3271717670286278,0.6634803062909764,0.438240690236525,52756,27263,6724,13257,320000,,CPU,,,,,,,native,Borrower + Financial
run_20260806T154718Z,random,borrower_financial,Logistic Regression,0.2106791223049609,validation_best_f1,0.7168008582989925,0.38505769303372317,0.14398189127003264,0.14399148544234933,0.7171874566282676,0.4343749132565351,0.31551029414658954,0.38594743806833054,0.14398116899049485,0.14398934758814116,0.19941375880742665,0.19917813406381207,validation_sigmoid_on_raw_log_odds,0.9887604630521017,-0.015449148911161502,0.33468505001351717,0.6195886091787198,0.43460708079549243,55409,24610,7601,12380,320000,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,320000.0,0.0,,,,Borrower + Financial
run_20260806T154718Z,random,borrower_only,LightGBM,0.17558219106248685,validation_best_f1,0.6023362168963029,0.2629469336736818,0.15659551528227275,0.24142899651712768,0.6016418593202102,0.20328371864042039,0.1514632786349296,0.262970438164595,0.15661493096242604,0.241498056659882,0.4887742136530524,0.19985200104416204,validation_sigmoid_on_raw_log_odds,0.9791975424585353,-1.3822611903262927,0.23409889815413232,0.7432560932886242,0.3560537041476864,31431,48588,5130,14851,320000,,CPU,,,,,,,native,Borrower-only
run_20260806T154718Z,random,borrower_only,Explainable Boosting Machine,0.17486896614694006,validation_best_f1,0.6016267652705243,0.26229997240673053,0.15664005510665843,0.15664023065589386,0.6009586849042976,0.2019173698085952,0.14871191266589978,0.2622006534569601,0.15666270073812427,0.15666215032085945,0.1998535444918814,0.19996534504072194,validation_sigmoid_on_raw_log_odds,1.0109834909418203,0.015517508731688404,0.23259442838129332,0.7609228767328963,0.35628251394291605,29856,50163,4777,15204,320000,,CPU,,,,,,,native,Borrower-only
run_20260806T154718Z,random,borrower_only,Logistic Regression,0.17843053120622793,validation_best_f1,0.5997153134390836,0.261231177990486,0.15676304223472592,0.1567634286578479,0.5993945588615862,0.19878911772317243,0.14705851987548985,0.26106939694132564,0.15676817900889217,0.15676881458537065,0.19988124614057393,0.19998380694595816,validation_sigmoid_on_raw_log_odds,0.9943702460974757,-0.006943687494431581,0.23457087366173898,0.7313948250838297,0.3552174230086775,32332,47687,5367,14614,320000,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,320000.0,0.0,,,,Borrower-only
run_20260806T154718Z,random,combined,LightGBM,0.21131265923341302,validation_best_f1,0.7272467874194035,0.39940258697357045,0.1422703846058734,0.21012961354979717,0.7266923585154056,0.4533847170308112,0.3297164898913306,0.398410354735422,0.14240060131660826,0.21003529353033082,0.44855724903678523,0.19942953504218836,validation_sigmoid_on_raw_log_odds,1.0241361280552408,-1.3667755901247183,0.33411638536373617,0.654872128522096,0.4424793723792777,53941,26078,6896,13085,320000,,CPU,,,,,,,native,Combined
run_20260806T154718Z,random,combined,Explainable Boosting Machine,0.21362850543459055,validation_best_f1,0.7233297208478494,0.39492749751779666,0.14288195272636753,0.1428818206115874,0.7230637817107346,0.4461275634214692,0.32353342869017165,0.3934618570671755,0.14303478080651624,0.1430350126198669,0.19950686664210465,0.19952599886550698,validation_sigmoid_on_raw_log_odds,0.9970323388234548,-0.003432460881542724,0.33342865313125536,0.6419098143236074,0.43888584724883656,54378,25641,7155,12826,320000,,CPU,,,,,,,native,Combined
run_20260806T154718Z,random,combined,Logistic Regression,0.21933160023704265,validation_best_f1,0.7182956733411446,0.3870063871258915,0.14372951123604566,0.14373258190572338,0.7189933255923536,0.43798665118470725,0.31692856060643854,0.38774383890873554,0.1436923338699744,0.1436935062058591,0.19949319129458234,0.19930775454564797,validation_sigmoid_on_raw_log_odds,0.9874735922526021,-0.016453880219042816,0.33613627732870394,0.6201891797207347,0.4359772723274755,55545,24474,7589,12392,320000,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,320000.0,0.0,,,,Combined
run_20260806T154718Z,random,financial_only,LightGBM,0.21592955450449272,validation_best_f1,0.7216320619646763,0.3924844140103071,0.1431561289237951,0.2118546232149268,0.7210193108139369,0.4420386216278738,0.32196528040570543,0.38941136400505943,0.1433708723641073,0.2119833794910185,0.4508696519605787,0.199634597136015,validation_sigmoid_on_raw_log_odds,1.012652586158829,-1.3668095056538587,0.3340545104350809,0.6336519693709024,0.4374762447738502,54779,25240,7320,12661,320000,,CPU,,,,,,,native,Financial-only
run_20260806T154718Z,random,financial_only,Explainable Boosting Machine,0.1928779621052232,validation_best_f1,0.7170486761550624,0.3861077110894269,0.14389039360319247,0.143890838887946,0.7167281542717083,0.43345630854341666,0.31404754973616544,0.38460630421138287,0.1440279864322658,0.1440282700829823,0.19970431471400665,0.19971989144404861,validation_sigmoid_on_raw_log_odds,1.0033496126650814,0.004166594494510782,0.31187285339080073,0.6953105450177669,0.4306037689065212,49365,30654,6088,13893,320000,,CPU,,,,,,,native,Financial-only
run_20260806T154718Z,random,financial_only,Logistic Regression,0.20320693889733152,validation_best_f1,0.7111323938753701,0.3770022770050527,0.14489588231850253,0.14490333855207022,0.7114344594447544,0.4228689188895087,0.3069962309555805,0.37790884473491104,0.14487923644631276,0.1448848824775216,0.19963658974027942,0.19939338047256963,validation_sigmoid_on_raw_log_odds,0.9905748687592142,-0.01333862169486786,0.32366940718303766,0.6364045843551374,0.429101707498144,53448,26571,7265,12716,320000,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,320000.0,0.0,,,,Financial-only
