run_id,split,feature_set,model,validation_roc_auc,validation_avg_precision,tuning_train_rows,validation_rows,validation_source,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,selected,interactions,max_rounds,outer_bags,max_depth,iterations,depth,l2_leaf_reg,min_samples_leaf,max_features,hidden_layer_sizes,dropout,lr,weight_decay,batch_size,d_token,n_heads,n_layers
run_20260806T154718Z,random,borrower_only,LightGBM,0.5816808755943603,0.2468483791338828,20000,80000,fixed_pipeline_validation_set,300.0,0.05,31.0,50.0,0.85,0.85,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_only,LightGBM,0.5834454775576894,0.24850412044238585,20000,80000,fixed_pipeline_validation_set,500.0,0.03,31.0,80.0,0.9,0.9,True,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_only,LightGBM,0.5753421648541817,0.2420384920391162,20000,80000,fixed_pipeline_validation_set,350.0,0.05,63.0,100.0,0.8,0.8,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_only,Explainable Boosting Machine,0.5928898755963392,0.2563064514344447,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,False,0.0,1500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_only,Explainable Boosting Machine,0.5939636454751586,0.2570085610514432,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,False,10.0,2000.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_only,Explainable Boosting Machine,0.5945088951846038,0.2572683224025347,12000,80000,fixed_pipeline_validation_set,,0.01,,,,,True,10.0,2500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,financial_only,LightGBM,0.7015881096643388,0.3676444816092227,20000,80000,fixed_pipeline_validation_set,300.0,0.05,31.0,50.0,0.85,0.85,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,financial_only,LightGBM,0.7025831952947571,0.36884983199562527,20000,80000,fixed_pipeline_validation_set,500.0,0.03,31.0,80.0,0.9,0.9,True,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,financial_only,LightGBM,0.6926397905206325,0.35554359945152136,20000,80000,fixed_pipeline_validation_set,350.0,0.05,63.0,100.0,0.8,0.8,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,financial_only,Explainable Boosting Machine,0.7117419006937765,0.37784525653409473,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,True,0.0,1500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,financial_only,Explainable Boosting Machine,0.7106594528363467,0.37705741111064667,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,False,10.0,2000.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,financial_only,Explainable Boosting Machine,0.7098301556873827,0.37581279785601335,12000,80000,fixed_pipeline_validation_set,,0.01,,,,,False,10.0,2500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,grade_only,LightGBM,0.6816947520535135,0.3131396571410514,20000,80000,fixed_pipeline_validation_set,300.0,0.05,31.0,50.0,0.85,0.85,True,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,grade_only,LightGBM,0.6816947520535135,0.3131396571410514,20000,80000,fixed_pipeline_validation_set,500.0,0.03,31.0,80.0,0.9,0.9,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,grade_only,LightGBM,0.6816947520535135,0.3131396571410514,20000,80000,fixed_pipeline_validation_set,350.0,0.05,63.0,100.0,0.8,0.8,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,grade_only,Explainable Boosting Machine,0.6816947520535135,0.3131396571410514,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,True,0.0,1500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,grade_only,Explainable Boosting Machine,0.6816947520535135,0.3131396571410514,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,False,10.0,2000.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,grade_only,Explainable Boosting Machine,0.6816947520535135,0.3131396571410514,12000,80000,fixed_pipeline_validation_set,,0.01,,,,,False,10.0,2500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_financial,LightGBM,0.7068317498994838,0.37400903000275365,20000,80000,fixed_pipeline_validation_set,300.0,0.05,31.0,50.0,0.85,0.85,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_financial,LightGBM,0.7082956965508285,0.3765699649235719,20000,80000,fixed_pipeline_validation_set,500.0,0.03,31.0,80.0,0.9,0.9,True,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_financial,LightGBM,0.6992298504091904,0.3638824367396222,20000,80000,fixed_pipeline_validation_set,350.0,0.05,63.0,100.0,0.8,0.8,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_financial,Explainable Boosting Machine,0.7118756080173675,0.37833158792457366,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,True,0.0,1500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_financial,Explainable Boosting Machine,0.7103853323007385,0.37694421425373403,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,False,10.0,2000.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,borrower_financial,Explainable Boosting Machine,0.7112633746718976,0.378039468460196,12000,80000,fixed_pipeline_validation_set,,0.01,,,,,False,10.0,2500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,XGBoost,0.7139901616837878,0.3824283948843352,20000,80000,fixed_pipeline_validation_set,120.0,0.05,,,0.85,0.85,False,,,,3.0,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,XGBoost,0.7138967268262484,0.38198282924966914,20000,80000,fixed_pipeline_validation_set,160.0,0.05,,,0.85,0.85,False,,,,4.0,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,XGBoost,0.71461252959876,0.3826030706568484,20000,80000,fixed_pipeline_validation_set,220.0,0.03,,,0.9,0.9,True,,,,3.0,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,XGBoost,0.7131613966473636,0.38196181376944094,20000,80000,fixed_pipeline_validation_set,180.0,0.04,,,0.8,0.8,False,,,,5.0,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,LightGBM,0.7084242410634961,0.3758768031763328,20000,80000,fixed_pipeline_validation_set,300.0,0.05,31.0,50.0,0.85,0.85,True,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,LightGBM,0.707576950790413,0.37466109140507264,20000,80000,fixed_pipeline_validation_set,500.0,0.03,31.0,80.0,0.9,0.9,False,,,,,,,,,,,,,,,,,
