feature,importance
grade_A,0.16507286
int_rate,0.16394246
grade_D,0.15090106
grade_E,0.08302983
grade_B,0.053521898
grade_C,0.042546928
term_months,0.04029918
dti,0.021216387
home_ownership_MORTGAGE,0.019228209
avg_cur_bal,0.019092863
acc_open_past_24mths,0.018220367
mort_acc,0.017246721
emp_length_missing,0.017154643
fico_score,0.016213212
verification_status_Not Verified,0.0151892025
home_ownership_RENT,0.011734548
installment,0.01043759
annual_inc,0.008388028
loan_amnt,0.00819913
purpose_small_business,0.008154511
revol_bal,0.008001355
addr_state_CO,0.00785169
initial_list_status_w,0.007764448
addr_state_WA,0.0077627967
addr_state_OR,0.007032723
initial_list_status_f,0.0065056887
bc_open_to_buy,0.0064457897
inq_last_6mths,0.0062310384
total_bc_limit,0.0058943387
addr_state_NY,0.0056994883
delinq_2yrs,0.004734071
total_il_high_credit_limit,0.0041704667
application_type_Individual,0.0040848684
emp_length_num,0.003571402
total_acc,0.0035649503
addr_state_NM,0.0030168004
purpose_moving,0.0026408206
bc_util,0.0020488142
total_bal_ex_mort,0.0018863176
revol_util,0.001825753
