model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Logistic Regression,1,6541,218,0.04443239271552197,0.03332823727258829,0.010968938015571087,0.059462849384135374,0.029244911847526416,0.03795940368548816
Logistic Regression,2,6540,445,0.07160006259586768,0.06804281345565749,0.059465332636332864,0.083760277276508,0.06218973892669059,0.07440305390619217
Logistic Regression,3,6541,612,0.09580796036260865,0.09356367527900933,0.08376617464156491,0.1079642290214445,0.0867426914236096,0.10086178780473412
Logistic Regression,4,6540,754,0.11990418459529795,0.11529051987767584,0.10796517419677823,0.13149513496263662,0.10777492647226397,0.12325780512686274
Logistic Regression,5,6540,872,0.14261907520089412,0.13333333333333333,0.13149796787346885,0.15363226249327833,0.12530941905386125,0.14178775518091843
Logistic Regression,6,6541,1020,0.1643039965833787,0.1559394587983489,0.15363236645086142,0.175133166652096,0.14734944640837083,0.1649333749207199
Logistic Regression,7,6540,1130,0.18594857185224536,0.172782874617737,0.17513369197948833,0.1970871368678353,0.16381286434859785,0.1821370742929487
Logistic Regression,8,6541,1328,0.2085917412298064,0.2030270600825562,0.1970898112040964,0.22045737812257005,0.19345428905161444,0.2129484571966676
Logistic Regression,9,6540,1489,0.2327559000185895,0.22767584097859328,0.22046097573129897,0.24529314277422157,0.21767435311261749,0.2379970677848565
Logistic Regression,10,6540,1665,0.25897515135286825,0.2545871559633027,0.24529459257062292,0.2728695893090446,0.24417528934447616,0.2652871646366837
Logistic Regression,11,6541,1808,0.28851730569623774,0.2764103348111909,0.2728764178862812,0.30521789770922797,0.2657057570683508,0.28737739165139814
Logistic Regression,12,6540,1974,0.32434785520591763,0.3018348623853211,0.3052196904056525,0.3446819395380075,0.29082806118370186,0.3130743315637019
Logistic Regression,13,6541,2235,0.3691383707422549,0.3416908729552056,0.3446864614261492,0.3965741591258626,0.33029294044859997,0.3532746496363915
Logistic Regression,14,6540,2614,0.43437003976201144,0.39969418960244646,0.3965747765310878,0.4802190989582839,0.38788459153036514,0.41162155788498733
Logistic Regression,15,6541,3188,0.559498788743382,0.4873872496560159,0.4802324288898396,0.8186489945776341,0.475284813991842,0.4995044918333746
Probit Regression,1,6541,220,0.03897252022175063,0.033634000917290935,0.004751839062281701,0.05619841885111911,0.029531333743357827,0.03828415013328787
Probit Regression,2,6540,443,0.06971553404597171,0.06773700305810397,0.05620822607932996,0.08273935265426019,0.06189681729726408,0.0740847137960313
Probit Regression,3,6541,622,0.09554195706288213,0.09509249350252255,0.08274349794305734,0.1081215497438443,0.08821926289271274,0.10244105805378655
Probit Regression,4,6540,729,0.12012319891267499,0.11146788990825689,0.10812659665780416,0.1319741668379547,0.10406737111536403,0.11932458873892095
Probit Regression,5,6540,891,0.1435073987992144,0.13623853211009174,0.13197431557961017,0.15496632855655718,0.1281377004122552,0.14476646034860424
Probit Regression,6,6541,1014,0.1660117365721115,0.15502216786424095,0.15496747533786184,0.177265492033058,0.14645380516193038,0.163995511136267
Probit Regression,7,6540,1125,0.18860669125831345,0.1720183486238532,0.17726638052941437,0.19999893341194935,0.16306483976109887,0.18135694453147932
Probit Regression,8,6541,1327,0.21185457420234538,0.20287417826020487,0.20000232630842218,0.22399751873427506,0.19330423052629897,0.21279293155016749
Probit Regression,9,6540,1511,0.2365902730801241,0.23103975535168195,0.22399760369991437,0.24934588308050573,0.22098386096779726,0.24141143906513746
