model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Logistic Regression,1,6541,218,0.030837639622044374,0.03332823727258829,0.007212490687152987,0.04175953077637185,0.029244911847526416,0.03795940368548816
Logistic Regression,2,6540,445,0.050775404587002845,0.06804281345565749,0.04176135957358571,0.05988416170780795,0.06218973892669059,0.07440305390619217
Logistic Regression,3,6541,612,0.06904978536439778,0.09356367527900933,0.059888614588256915,0.0783658291345,0.0867426914236096,0.10086178780473412
Logistic Regression,4,6540,754,0.08764485589742989,0.11529051987767584,0.07836655871190701,0.09671230729718258,0.10777492647226397,0.12325780512686274
Logistic Regression,5,6540,872,0.10552304957868505,0.13333333333333333,0.09671453775995395,0.114297485555371,0.12530941905386125,0.14178775518091843
Logistic Regression,6,6541,1020,0.12289614185783578,0.1559394587983489,0.11429756886110479,0.13167031062634887,0.14734944640837083,0.1649333749207199
Logistic Regression,7,6540,1130,0.14052853075775418,0.172782874617737,0.13167073856949596,0.14970117519302617,0.16381286434859785,0.1821370742929487
Logistic Regression,8,6541,1328,0.15927993314824385,0.2030270600825562,0.14970338942033878,0.16921474426823924,0.19345428905161444,0.2129484571966676
Logistic Regression,9,6540,1489,0.17963016179182592,0.22767584097859328,0.16921777336143912,0.19030943214599375,0.21767435311261749,0.2379970677848565
Logistic Regression,10,6540,1665,0.20210514513232533,0.2545871559633027,0.19031067425182407,0.21416044868879594,0.24417528934447616,0.2652871646366837
Logistic Regression,11,6541,1808,0.2279193608052881,0.2764103348111909,0.2141664104229916,0.24271089909895718,0.2657057570683508,0.28737739165139814
Logistic Regression,12,6540,1974,0.25992270171065596,0.3018348623853211,0.24271249841778825,0.2783769285761412,0.29082806118370186,0.3130743315637019
Logistic Regression,13,6541,2235,0.30100562641422485,0.3416908729552056,0.27838106789713624,0.3266743170965443,0.33029294044859997,0.3532746496363915
Logistic Regression,14,6540,2614,0.36302777215064364,0.39969418960244646,0.32667490121094783,0.40788975519994086,0.38788459153036514,0.41162155788498733
Logistic Regression,15,6541,3188,0.4898208174583891,0.4873872496560159,0.4079030307022091,0.7790514884839896,0.475284813991842,0.4995044918333746
Probit Regression,1,6541,220,0.026862429105321484,0.033634000917290935,0.0030252049563198363,0.039293297892422016,0.029531333743357827,0.03828415013328787
Probit Regression,2,6540,443,0.04930905387450573,0.06773700305810397,0.0393004927763516,0.05905053426430688,0.06189681729726408,0.0740847137960313
Probit Regression,3,6541,622,0.06879116195557938,0.09509249350252255,0.05905366258622933,0.0784373261168077,0.08821926289271274,0.10244105805378655
Probit Regression,4,6540,729,0.08777559267893562,0.11146788990825689,0.07844122578005276,0.09705888147267444,0.10406737111536403,0.11932458873892095
Probit Regression,5,6540,891,0.10621084589912702,0.13623853211009174,0.0970589987668053,0.11536019068112059,0.1281377004122552,0.14476646034860424
Probit Regression,6,6541,1014,0.124284387589985,0.15502216786424095,0.11536111189908074,0.1334289871148155,0.14645380516193038,0.163995511136267
Probit Regression,7,6540,1125,0.14275005892492773,0.1720183486238532,0.1334297132153234,0.15216603017507763,0.16306483976109887,0.18135694453147932
Probit Regression,8,6541,1327,0.16207680782618816,0.20287417826020487,0.15216885019343943,0.17228693919466798,0.19330423052629897,0.21279293155016749
Probit Regression,9,6540,1511,0.1829996493900152,0.23103975535168195,0.17228701104680663,0.1939156854352048,0.22098386096779726,0.24141143906513746
Probit Regression,10,6540,1643,0.20587589609374252,0.2512232415902141,0.19391736318253558,0.2181292278847024,0.24085965069088666,0.2618789241548125
