feature,importance
int_rate,33.047253832577084
term_months,17.50932843658121
acc_open_past_24mths,7.121847774071297
dti,4.460148936847263
grade_C,4.329726305297518
fico_score,4.265590100185966
annual_inc,3.510181522650413
avg_cur_bal,2.992839857990406
grade_A,2.443342626031395
loan_amnt,2.2556473836452224
grade_B,1.9599927429292052
mort_acc,1.8897469450604207
emp_length_missing,1.541234584745745
installment,1.103659054502884
home_ownership_MORTGAGE,1.0662029141204272
total_bc_limit,1.0364527344394379
home_ownership_RENT,1.031635964669694
revol_bal,0.8552888704334816
inq_last_6mths,0.745180635124317
grade_D,0.5831844826357048
total_acc,0.5164752266171588
purpose_small_business,0.511466775050993
credit_history_months,0.4019682177267539
verification_status_Not Verified,0.3913293079679065
delinq_2yrs,0.3369033129240102
addr_state_CO,0.33453830347234376
emp_length_num,0.3337230763341966
total_il_high_credit_limit,0.3239415586372636
bc_open_to_buy,0.3110764005257571
addr_state_OR,0.25439820806432883
bc_util,0.23558752359457422
addr_state_WA,0.22087098372994726
initial_list_status_w,0.20191758269440802
addr_state_SC,0.19555287311907663
verification_status_Source Verified,0.17347917247392658
addr_state_NY,0.157246269131057
initial_list_status_f,0.15722401268410519
revol_util,0.15390328523723376
open_acc,0.13942096743171997
addr_state_CA,0.13269255092561352
