Model,Feature_Group_ID,Feature_Group,AUC,Gini,KS_statistic,Average_Precision,Brier_score,Precision,Recall,F1_score,selected_threshold
LightGBM,borrower_financial,Borrower + Financial,0.709572973804263,0.41914594760852597,0.307409816244673,0.3866666269412061,0.15528361306989463,0.32689802455953015,0.7168883476957663,0.4490370652859469,0.22426281325937591
Explainable Boosting Machine,borrower_financial,Borrower + Financial,0.7091793544728878,0.41835870894577565,0.303670583920133,0.3883456517320688,0.15523299507047264,0.3299652034261242,0.6928156612963656,0.4470264716547806,0.22787289769633173
Logistic Regression,borrower_financial,Borrower + Financial,0.7045987377323911,0.40919747546478225,0.2978528754117556,0.38444544043798107,0.15602416679212083,0.33627422620769454,0.6533345822405395,0.44401298618626267,0.23305670278694574
LightGBM,borrower_only,Borrower-only,0.613112762335497,0.2262255246709941,0.168801509642518,0.29126291330156046,0.16603854230597842,0.2541294135475072,0.7854065192956163,0.38400769389297246,0.1999575048377744
Explainable Boosting Machine,borrower_only,Borrower-only,0.6126414774262281,0.2252829548524562,0.1674525965029769,0.29566691999856637,0.1659546075719044,0.2576958317928274,0.7507961783439491,0.383695743229497,0.20970226081308854
Logistic Regression,borrower_only,Borrower-only,0.6123941031273228,0.22478820625464557,0.16597201908462988,0.2953400971415099,0.16596963786340424,0.2552212114143535,0.7686399400524541,0.383202773853859,0.20675364841878735
LightGBM,combined,Combined,0.7101578203057082,0.42031564061141635,0.3078740279995868,0.38751611033217054,0.15494127366705832,0.33370270698116195,0.6910828025477707,0.4500770157539156,0.23169488661804083
Explainable Boosting Machine,combined,Combined,0.7096170705772179,0.4192341411544358,0.3047866339544261,0.3889809879600128,0.1549022121259955,0.33687876060074856,0.6660266017234919,0.44744045558946605,0.2334896327332466
Logistic Regression,combined,Combined,0.7056906303086031,0.41138126061720626,0.3011426359908502,0.3859404928565038,0.1553660983608001,0.3399155826524819,0.6449512926189584,0.4451951830598885,0.2403173366846103
LightGBM,financial_only,Financial-only,0.7026790688741449,0.40535813774828977,0.29719625518701037,0.37867057748103905,0.15640144565746444,0.3300707896114538,0.679140127388535,0.44423680784253655,0.2357735608180183
Explainable Boosting Machine,financial_only,Financial-only,0.7005950522967994,0.40119010459359883,0.29112189832235663,0.37572576672908087,0.15695801638961757,0.32473930717568045,0.6884132633945298,0.44130539209799446,0.2291158238998036
Logistic Regression,financial_only,Financial-only,0.6956173516484586,0.39123470329691723,0.2860264399049503,0.3730726085180662,0.15763164390791368,0.3242209346547057,0.6787654552266766,0.4388294248557976,0.22324493203195833
Logistic Regression,grade_only,Grade-only,0.6719708886979121,0.3439417773958242,0.2639174422546385,0.32338333449081524,0.15973574070458074,0.29889781775287527,0.7595073061071562,0.4289757697598138,0.26855038556289945
LightGBM,grade_only,Grade-only,0.6719708886979121,0.3439417773958242,0.2639174422546385,0.32338333449081524,0.15973411744683363,0.29889781775287527,0.7595073061071562,0.4289757697598138,0.2684710165154541
Explainable Boosting Machine,grade_only,Grade-only,0.6719708886979121,0.3439417773958242,0.2639174422546385,0.32338333449081524,0.15973234085275487,0.29889781775287527,0.7595073061071562,0.4289757697598138,0.2688687923525441
