feature,token_embedding_norm
purpose_other,0.7043631
addr_state_FL,0.70099014
addr_state_AR,0.67432046
addr_state_SD,0.6719387
purpose_car,0.6595239
addr_state_NJ,0.65651613
addr_state_LA,0.6538625
addr_state_GA,0.6470418
addr_state_NV,0.6441486
purpose_major_purchase,0.6387963
purpose_moving,0.6349344
addr_state_NM,0.6340806
application_type_Joint App,0.62093395
addr_state_NH,0.6193619
addr_state_HI,0.61544615
addr_state_MN,0.6139779
addr_state_WI,0.61381537
addr_state_UT,0.6137084
purpose_medical,0.60672635
addr_state_AL,0.6052873
addr_state_VT,0.5981247
grade_D,0.5977541
home_ownership_OTHER,0.59402215
addr_state_VA,0.5923891
addr_state_MS,0.59097105
addr_state_NE,0.58599627
addr_state_OR,0.5855276
addr_state_WY,0.5841827
purpose_educational,0.5805682
addr_state_WA,0.5804685
addr_state_NY,0.57790464
addr_state_CO,0.5721332
addr_state_OK,0.57121086
addr_state_CT,0.5672079
addr_state_TN,0.5664512
addr_state_CA,0.565444
verification_status_Source Verified,0.561115
addr_state_SC,0.55970734
addr_state_DC,0.55779743
addr_state_MD,0.55736715
