model,decile,loans,defaults,default_rate,lift,cumulative_gain,cumulative_population,min_score,max_score,avg_score
Logistic Regression,1,9811,4540,0.46274589746203243,2.1261995017940993,0.2126264518546272,0.10000305788577778,0.43271236725712237,0.8186489945776341,0.5247182800645385
Logistic Regression,2,9811,3497,0.3564366527367241,1.6377356074391995,0.3764050206069689,0.20000611577155555,0.3446864614261492,0.43269244161870146,0.3839552211319865
Logistic Regression,3,9810,2876,0.29317023445463813,1.347042534265698,0.5110996627950544,0.29999898070474074,0.2880486881730868,0.3446819395380075,0.3150770384324556
Logistic Regression,4,9811,2571,0.2620527978799307,1.2040658412142355,0.6315099288122893,0.4000020385905185,0.24529459257062292,0.2880379043706356,0.26615211624005314
Logistic Regression,5,9811,2170,0.22118030781775558,1.0162671627518052,0.7331397527163732,0.5000050964762963,0.20862238539756753,0.24529314277422157,0.22664166429506258
Logistic Regression,6,9810,1777,0.18114169215086645,0.8322999246836387,0.8163638066691645,0.5999979614094815,0.17513369197948833,0.20862017229117713,0.19155397115398212
Logistic Regression,7,9811,1458,0.14860870451533992,0.6828191351576645,0.8846478081678532,0.7000010192952593,0.14262198486800848,0.175133166652096,0.15891707934975374
Logistic Regression,8,9810,1188,0.12110091743119267,0.5564278618594052,0.9402866242038217,0.7999938842284444,0.10796517419677823,0.14261978972136716,0.1256349740283937
Logistic Regression,9,9811,862,0.0878605646723066,0.40369690981200745,0.9806575496440615,0.8999969421142222,0.07152318205560414,0.1079642290214445,0.08974612635985706
Logistic Regression,10,9811,413,0.04209560697176638,0.1934185890398597,1.0,1.0,0.010968938015571087,0.07152106597234795,0.05148071686316068
Probit Regression,1,9811,4525,0.46121700132504334,2.119174613572313,0.21192394155114275,0.10000305788577778,0.43446261031886846,0.8031484041190149,0.522252246185297
Probit Regression,2,9811,3514,0.3581694016919784,1.6456971474238913,0.3764986886474335,0.20000611577155555,0.34864245789411275,0.43443923479592156,0.38701473480365295
Probit Regression,3,9810,2874,0.2929663608562691,1.3461057870235102,0.5110996627950544,0.29999898070474074,0.292467019076731,0.34863340673441184,0.3192131496822026
Probit Regression,4,9811,2557,0.2606258281520742,1.1975092788739012,0.630854252529037,0.4000020385905185,0.24934783204719105,0.29246627774077866,0.2703256119907404
Probit Regression,5,9811,2184,0.22260727754561208,1.0228237250921395,0.7331397527163732,0.5000050964762963,0.21170652913167237,0.24934588308050573,0.23032430405573753
Probit Regression,6,9810,1779,0.18134556574923547,0.8332366719258263,0.816457474709629,0.5999979614094815,0.17726638052941437,0.2116947551227268,0.1943748388929747
Probit Regression,7,9811,1471,0.1499337478340638,0.6889073716165462,0.8853503184713376,0.7000010192952593,0.14366307082981333,0.177265492033058,0.16041450923855885
Probit Regression,8,9810,1163,0.11855249745158002,0.5447185213320607,0.9398182840014987,0.7999938842284444,0.10812659665780416,0.14366286792416771,0.12601428418088043
Probit Regression,9,9811,862,0.0878605646723066,0.40369690981200745,0.9801892094417385,0.8999969421142222,0.06985734815550627,0.1081215497438443,0.08914187667407178
Probit Regression,10,9811,423,0.04311487106309245,0.19810184785438414,1.0,1.0,0.004751839062281701,0.06985317631719541,0.047011297169515805
