feature,importance
dti,969
annual_inc,965
int_rate,963
credit_history_months,758
avg_cur_bal,752
acc_open_past_24mths,737
loan_amnt,635
revol_bal,635
installment,583
total_bc_limit,575
fico_score,566
total_il_high_credit_limit,545
bc_util,510
revol_util,489
bc_open_to_buy,482
total_acc,462
total_bal_ex_mort,434
mort_acc,364
emp_length_num,292
open_acc,269
term_months,258
inq_last_6mths,239
emp_length_missing,184
delinq_2yrs,158
home_ownership_RENT,120
purpose_small_business,106
initial_list_status_f,94
home_ownership_MORTGAGE,85
addr_state_OR,83
addr_state_WA,80
addr_state_CO,75
grade_C,69
addr_state_SC,65
verification_status_Source Verified,63
addr_state_GA,62
grade_B,59
addr_state_NY,56
addr_state_CA,56
addr_state_KS,50
verification_status_Not Verified,49
