feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
const,-1.7616644265387995,1.7616644265387995,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.17175874596297214
purpose_wedding,-0.5054014963045703,0.5054014963045703,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.6032633188045426
addr_state_NH,-0.43549440417203017,0.43549440417203017,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.6469447358204147
purpose_small_business,0.3865102980912659,0.3865102980912659,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.471835554085206
term_months,0.3799506990648641,0.3799506990648641,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.462212499213603
addr_state_WV,-0.3529119569397947,0.3529119569397947,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7026390531464987
addr_state_OR,-0.3368675767359491,0.3368675767359491,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7140033843013356
addr_state_MS,0.32765449837897076,0.32765449837897076,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.38770943359466
addr_state_DC,-0.2975380162090917,0.2975380162090917,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7426443501612322
addr_state_VT,-0.29509363868798055,0.29509363868798055,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7444618737688995
addr_state_CO,-0.29112924213933145,0.29112924213933145,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7474190737354867
addr_state_KS,-0.2857308559758419,0.2857308559758419,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7514648410031535
int_rate,0.281163990304734,0.281163990304734,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.3246708192954924
addr_state_NE,0.27606751170342797,0.27606751170342797,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.3179368371847937
addr_state_OK,0.2750825367132838,0.2750825367132838,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.3166393414668929
addr_state_WA,-0.2684931039878717,0.2684931039878717,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7645306950046182
addr_state_SC,-0.2566235069141799,0.2566235069141799,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.7736594363689332
acc_open_past_24mths,0.22936058332852247,0.22936058332852247,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2577954973371999
addr_state_WY,-0.2171046854171315,0.2171046854171315,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8048457092858777
purpose_educational,0.1936966972600987,0.1936966972600987,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2137281000653708
addr_state_AR,0.18358065440785518,0.18358065440785518,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2015118687321034
dti,0.18287139703530936,0.18287139703530936,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2006599897174508
home_ownership_RENT,0.18096430225202503,0.18096430225202503,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1983723993337385
addr_state_AL,0.16704063701398297,0.16704063701398297,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1818022892487334
fico_score,-0.1649350434862641,0.1649350434862641,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8479487820957703
installment,0.1577364303822655,0.1577364303822655,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.170857551557692
purpose_credit_card,-0.134496394541318,0.134496394541318,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8741560306043403
addr_state_GA,-0.13091766665021762,0.13091766665021762,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8772900016422128
purpose_house,-0.13031926093769622,0.13031926093769622,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8778151340961932
addr_state_WI,-0.12888503498839993,0.12888503498839993,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8790750226066301
addr_state_HI,-0.1285214235736691,0.1285214235736691,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8793947224389864
purpose_medical,0.12419414007461334,0.12419414007461334,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1322356619792626
total_il_high_credit_limit,-0.12142283083398381,0.12142283083398381,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8856593963088364
addr_state_LA,0.1192232723989313,0.1192232723989313,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1266214336792708
total_acc,-0.11532433548497442,0.11532433548497442,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8910770891141546
addr_state_NM,0.11456775819320754,0.11456775819320754,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.12138862175667
home_ownership_OTHER,0.11327629929407668,0.11327629929407668,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1199413292023004
addr_state_NV,0.10526245449885946,0.10526245449885946,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1110021596098572
addr_state_RI,-0.09976064777023966,0.09976064777023966,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9050540188104421
verification_status_Source Verified,0.09788931536937073,0.09788931536937073,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1028407108360376
emp_length_missing,0.09425226805410039,0.09425226805410039,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0988369124052446
total_bal_ex_mort,0.0933757396066088,0.0933757396066088,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0978741725884258
addr_state_NY,0.09180141374958219,0.09180141374958219,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.096147120718674
annual_inc,-0.09067893015063765,0.09067893015063765,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9133109004228088
addr_state_NJ,0.08904792845314258,0.08904792845314258,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.093133047246846
addr_state_UT,-0.08868014660513512,0.08868014660513512,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9151382368391112
purpose_debt_consolidation,-0.08346449267300339,0.08346449267300339,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9199237501247447
addr_state_SD,0.08222740665730802,0.08222740665730802,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0857026777755614
purpose_vacation,-0.07742125679794686,0.07742125679794686,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.925499898352931
total_bc_limit,-0.07698292618961419,0.07698292618961419,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9259056622092502
addr_state_MN,0.07645660914574491,0.07645660914574491,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.079455350831167
application_type_Joint App,-0.07198522600073237,0.07198522600073237,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9305446435755335
avg_cur_bal,-0.0686600118794422,0.0686600118794422,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9336440540106544
initial_list_status_w,0.06804481329134263,0.06804481329134263,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0704132761459728
inq_last_6mths,0.06599982864218748,0.06599982864218748,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0682265341170154
addr_state_MO,0.06418640789867122,0.06418640789867122,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0662911453287371
mort_acc,-0.06413533425671124,0.06413533425671124,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9378780639108892
purpose_moving,0.06342191702447258,0.06342191702447258,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0654762869944614
addr_state_CT,-0.06314747855683864,0.06314747855683864,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9388050098711535
home_ownership_OWN,0.06097230427868836,0.06097230427868836,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0628694768427316
addr_state_IL,-0.05553557334632926,0.05553557334632926,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9459783714556494
addr_state_ME,-0.054433370314719134,0.054433370314719134,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9470216065073092
delinq_2yrs,0.05091920716695617,0.05091920716695617,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0522378765697955
addr_state_AZ,0.050720557660054746,0.050720557660054746,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0520288707946064
revol_bal,-0.04952263282628849,0.04952263282628849,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9516836186026914
addr_state_OH,0.0482755228458521,0.0482755228458521,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.049459765635629
purpose_renewable_energy,0.04579522582251805,0.04579522582251805,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0468600191073776
open_acc,0.04116795204505709,0.04116795204505709,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0420271014323002
addr_state_KY,0.040781897196105664,0.040781897196105664,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.04162489945806
disbursement_method_DirectPay,0.04006576634202504,0.04006576634202504,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.04087922676066
addr_state_IN,0.03909971136310646,0.03909971136310646,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0398741657514563
addr_state_FL,0.03806494326744603,0.03806494326744603,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0387986936692974
addr_state_MA,-0.033913519626829806,0.033913519626829806,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9666550977164516
revol_util,0.03384399378948114,0.03384399378948114,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0344232176933343
purpose_home_improvement,-0.026809652651640918,0.026809652651640918,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9735465358902426
addr_state_MD,0.02598493535035553,0.02598493535035553,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0263254871230978
addr_state_TX,-0.02531330867164179,0.02531330867164179,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9750043868397008
addr_state_TN,0.024126263800872693,0.024126263800872693,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0244196568445976
addr_state_NC,0.02388178753421804,0.02388178753421804,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0241692411629975
loan_amnt,-0.022526278348656257,0.022526278348656257,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9777255438430172
addr_state_MT,-0.0215993720331701,0.0215993720331701,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9786322239632673
pub_rec,0.0208681142257287,0.0208681142257287,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0210873758576504
addr_state_ND,0.019020023005029783,0.019020023005029783,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0192020559009913
verification_status_Verified,0.017719943927457897,0.017719943927457897,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.017877873589667
pub_rec_bankruptcies,-0.015151576929273875,0.015151576929273875,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9849626306764467
addr_state_CA,-0.01481673435988876,0.01481673435988876,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9852924933173959
