feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
const,-1.7240641793225462,1.7240641793225462,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.17833986784170158
term_months,0.34289652666203596,0.34289652666203596,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.4090229580744353
int_rate,0.3145281172871708,0.3145281172871708,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.3696128618121464
acc_open_past_24mths,0.2235605104311013,0.2235605104311013,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.250521307570534
dti,0.1835585927656615,0.1835585927656615,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2014853616995593
fico_score,-0.16346607594588422,0.16346607594588422,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8491953066604829
total_il_high_credit_limit,-0.1373212623801962,0.1373212623801962,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8716901398947966
total_bal_ex_mort,0.11348227709628046,0.11348227709628046,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.120172036015312
total_acc,-0.11044738340933793,0.11044738340933793,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8954334436049688
avg_cur_bal,-0.10707712088400073,0.10707712088400073,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.898456380568088
mort_acc,-0.09750537886126397,0.09750537886126397,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9070974623912764
annual_inc,-0.08264590475007275,0.08264590475007275,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9206770968948305
total_bc_limit,-0.080336860077618,0.080336860077618,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9228054377118418
installment,0.08004381016904885,0.08004381016904885,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0833345277041302
initial_list_status_w,0.07778019768190782,0.07778019768190782,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0808850515178234
inq_last_6mths,0.061294773199811796,0.061294773199811796,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0632122744840464
revol_bal,-0.06019846592509335,0.06019846592509335,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9415776439610952
delinq_2yrs,0.04975739643200498,0.04975739643200498,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0510160851916754
loan_amnt,0.049240915934367406,0.049240915934367406,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0504733960372166
pub_rec,0.0245513105272624,0.0245513105272624,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0248551756175461
revol_util,0.022276301900478048,0.022276301900478048,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0225262713948793
credit_history_months,0.019518620421977193,0.019518620421977193,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0197103541209707
open_acc,0.01818480749953146,0.01818480749953146,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0183511579317204
pub_rec_bankruptcies,-0.01575823651450783,0.01575823651450783,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9843652748695834
bc_util,-0.012063095079584057,0.012063095079584057,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9880093723652827
bc_open_to_buy,-0.005117113204678327,0.005117113204678327,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.994895956915831
disbursement_method_DirectPay,0.002813499864681581,0.002813499864681581,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.00281746146988
