feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
purpose_wedding,-0.5054014963045703,0.5054014963045703,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.6032633188045426
purpose_small_business,0.3865102980912659,0.3865102980912659,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.471835554085206
term_months,0.3799506990648641,0.3799506990648641,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.462212499213603
int_rate,0.281163990304734,0.281163990304734,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.3246708192954924
acc_open_past_24mths,0.22936058332852247,0.22936058332852247,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2577954973371999
purpose_educational,0.1936966972600987,0.1936966972600987,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2137281000653708
dti,0.18287139703530936,0.18287139703530936,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2006599897174508
home_ownership_RENT,0.18096430225202503,0.18096430225202503,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1983723993337385
fico_score,-0.1649350434862641,0.1649350434862641,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8479487820957703
installment,0.1577364303822655,0.1577364303822655,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.170857551557692
purpose_credit_card,-0.134496394541318,0.134496394541318,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8741560306043403
purpose_house,-0.13031926093769622,0.13031926093769622,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8778151340961932
purpose_medical,0.12419414007461334,0.12419414007461334,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1322356619792626
total_il_high_credit_limit,-0.12142283083398381,0.12142283083398381,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8856593963088364
total_acc,-0.11532433548497442,0.11532433548497442,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8910770891141546
home_ownership_OTHER,0.11327629929407668,0.11327629929407668,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1199413292023004
verification_status_Source Verified,0.09788931536937073,0.09788931536937073,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1028407108360376
emp_length_missing,0.09425226805410039,0.09425226805410039,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0988369124052446
total_bal_ex_mort,0.0933757396066088,0.0933757396066088,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0978741725884258
annual_inc,-0.09067893015063765,0.09067893015063765,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9133109004228088
purpose_debt_consolidation,-0.08346449267300339,0.08346449267300339,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9199237501247447
purpose_vacation,-0.07742125679794686,0.07742125679794686,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.925499898352931
total_bc_limit,-0.07698292618961419,0.07698292618961419,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9259056622092502
application_type_Joint App,-0.07198522600073237,0.07198522600073237,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9305446435755335
avg_cur_bal,-0.0686600118794422,0.0686600118794422,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9336440540106544
initial_list_status_w,0.06804481329134263,0.06804481329134263,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0704132761459728
inq_last_6mths,0.06599982864218748,0.06599982864218748,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0682265341170154
mort_acc,-0.06413533425671124,0.06413533425671124,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9378780639108892
purpose_moving,0.06342191702447258,0.06342191702447258,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0654762869944614
home_ownership_OWN,0.06097230427868836,0.06097230427868836,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0628694768427316
delinq_2yrs,0.05091920716695617,0.05091920716695617,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0522378765697955
revol_bal,-0.04952263282628849,0.04952263282628849,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9516836186026914
purpose_renewable_energy,0.04579522582251805,0.04579522582251805,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0468600191073776
open_acc,0.04116795204505709,0.04116795204505709,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0420271014323002
disbursement_method_DirectPay,0.04006576634202504,0.04006576634202504,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.04087922676066
revol_util,0.03384399378948114,0.03384399378948114,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0344232176933343
purpose_home_improvement,-0.026809652651640918,0.026809652651640918,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9735465358902426
loan_amnt,-0.022526278348656257,0.022526278348656257,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9777255438430172
pub_rec,0.0208681142257287,0.0208681142257287,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0210873758576504
verification_status_Verified,0.017719943927457897,0.017719943927457897,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.017877873589667
