feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
purpose_small_business,0.5469194468102592,0.5469194468102592,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.7279218554352684
verification_status_Verified,0.5456525751315686,0.5456525751315686,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.7257341862143105
purpose_wedding,-0.4943759915943985,0.4943759915943985,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.6099514033702998
verification_status_Source Verified,0.4574249191055197,0.4574249191055197,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.580000113865302
home_ownership_RENT,0.3375861600827404,0.3375861600827404,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.4015603617465726
application_type_Joint App,0.2551823678683414,0.2551823678683414,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2906969810682811
purpose_medical,0.24094034880546922,0.24094034880546922,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2724451301723458
purpose_moving,0.23695171564802056,0.23695171564802056,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2673799216796586
purpose_debt_consolidation,0.20313841078031253,0.20313841078031253,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.225242043219
purpose_house,0.20248975181329956,0.20248975181329956,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2244475366906546
purpose_educational,0.18644637562938007,0.18644637562938007,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2049600051312928
purpose_other,0.18363385968663398,0.18363385968663398,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2015757972066865
home_ownership_OWN,0.15901699754784898,0.15901699754784898,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1723578737204166
purpose_renewable_energy,0.1551051681696455,0.1551051681696455,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1677807680132422
home_ownership_OTHER,0.13941331627468986,0.13941331627468986,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1495991498619311
purpose_home_improvement,0.08861493339149089,0.08861493339149089,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0926598284937448
purpose_credit_card,-0.06681127490408556,0.06681127490408556,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9353717127963947
emp_length_missing,0.04665216753365006,0.04665216753365006,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0477575016136422
purpose_major_purchase,0.029948282745999585,0.029948282745999585,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0304012430526899
purpose_vacation,0.02679072420642204,0.02679072420642204,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0271528220471842
home_ownership_NONE,0.007886083787481029,0.007886083787481029,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0079172608473144
emp_length_num,0.003840776825900894,0.003840776825900894,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0038481620612005
