feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator,odds_ratio
grade_G,1.0840961261682511,1.0840961261682511,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,2.9567660670798115
grade_F,1.0827748959761632,1.0827748959761632,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,2.952862078083027
grade_E,1.0486961883683301,1.0486961883683301,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,2.853927707136876
grade_D,0.9206700325246764,0.9206700325246764,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,2.5109722595021466
grade_C,0.7417650747232206,0.7417650747232206,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,2.0996382641460842
purpose_wedding,-0.5597237181835887,0.5597237181835887,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.5713669003291963
grade_B,0.4400161141296426,0.4400161141296426,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.5527322392383451
purpose_small_business,0.4061363366151186,0.4061363366151186,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.5010071807468306
term_months,0.38920098846805096,0.38920098846805096,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.475801140536936
purpose_educational,0.29944273389882525,0.29944273389882525,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.3491067865785349
installment,0.23546429799018134,0.23546429799018134,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2654961996929315
acc_open_past_24mths,0.21456227923524407,0.21456227923524407,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.2393193024294413
home_ownership_OTHER,0.18135700750431757,0.18135700750431757,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1988430988862033
home_ownership_RENT,0.17372681933923131,0.17372681933923131,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1897305100560363
dti,0.16882277136148618,0.16882277136148618,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1839102975194136
fico_score,-0.13304519499299533,0.13304519499299533,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8754255263641592
total_il_high_credit_limit,-0.11018569651555599,0.11018569651555599,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8956677974637436
purpose_medical,0.10875799922359193,0.10875799922359193,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.1148925128386036
loan_amnt,-0.10828250509138969,0.10828250509138969,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.8973740478803358
total_acc,-0.1019167262728594,0.1019167262728594,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9031047534364847
application_type_Joint App,-0.10131637428090944,0.10131637428090944,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9036470969563666
purpose_credit_card,-0.09507349521388413,0.09507349521388413,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9093061023658622
emp_length_missing,0.09293863757695933,0.09293863757695933,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0973943944229314
annual_inc,-0.08975675318583123,0.08975675318583123,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9141535231608102
verification_status_Source Verified,0.08939431108784049,0.08939431108784049,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0935117551369584
total_bal_ex_mort,0.080537694135934,0.080537694135934,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.083869701404113
purpose_moving,0.0785120002203687,0.0785120002203687,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0816763354387864
total_bc_limit,-0.07845656942751279,0.07845656942751279,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9245422124571988
purpose_renewable_energy,0.07609207582565915,0.07609207582565915,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0790619251009947
disbursement_method_DirectPay,0.07279880290537936,0.07279880290537936,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0755141248275533
mort_acc,-0.06666697403033756,0.06666697403033756,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9355066974908008
avg_cur_bal,-0.06571863371456847,0.06571863371456847,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9363942970143878
inq_last_6mths,0.06329734612517507,0.06329734612517507,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0653435679218493
purpose_debt_consolidation,-0.0614895498496094,0.0614895498496094,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.940362772620478
initial_list_status_w,0.0583463537887476,0.0583463537887476,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0600820955835906
purpose_house,-0.05090311743334076,0.05090311743334076,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9503707404289816
home_ownership_OWN,0.050309051666638634,0.050309051666638634,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.051596043670613
delinq_2yrs,0.04769302970832215,0.04769302970832215,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0488486405294022
revol_bal,-0.04651910423586602,0.04651910423586602,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,0.9545463245176493
open_acc,0.04493822904825469,0.04493822904825469,full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,1.0459632477678555
