Model,AUC,Gini,KS_statistic,Average_Precision,Brier_score,Precision,Recall,F1_score,selected_threshold
MLP Neural Network,0.7140606251213791,0.42812125024275827,0.3122402760541337,0.396748258783538,0.15389334937443697,0.3304598958561239,0.7073810415886099,0.4504757075964091,0.22308374831494102
LightGBM,0.7101578203057082,0.42031564061141635,0.3078740279995868,0.38751611033217054,0.15494127366705832,0.33370270698116195,0.6910828025477707,0.4500770157539156,0.23169488661804083
FT-Transformer,0.7101299505399065,0.4202599010798129,0.3075736575181102,0.39003952554566523,0.1546119806216436,0.3447743828409551,0.6383945297864368,0.4477401129943503,0.25232318308270696
Explainable Boosting Machine,0.7096170705772179,0.4192341411544358,0.3047866339544261,0.3889809879600128,0.1549022121259955,0.33687876060074856,0.6660266017234919,0.44744045558946605,0.2334896327332466
Logistic Regression,0.7056906303086031,0.41138126061720626,0.3011426359908502,0.3859404928565038,0.1553660983608001,0.3399155826524819,0.6449512926189584,0.4451951830598885,0.2403173366846103
Linear SVM,0.7056489418983326,0.4112978837966652,0.3015471512260659,0.3853211073834407,0.15547164717538772,0.33053429945147966,0.6857905582615211,0.4460725328621693,0.22654666520632372
Probit Regression,0.7055339073425078,0.4110678146850155,0.30041812458948924,0.38524188664956005,0.15544044918820046,0.33749125389051077,0.6551142750093668,0.44548480071338714,0.24074533222994557
CatBoost,0.7050289450170617,0.4100578900341234,0.30065746043640384,0.382039594043882,0.15579147390220308,0.33750030050244006,0.6575028100412139,0.44604362261513286,0.24433531250756638
XGBoost,0.7037105376014671,0.40742107520293414,0.2973306890523948,0.380628035984854,0.15610302168286644,0.32798840321141837,0.6887879355563882,0.4443739424703892,0.23413290582082158
Random Forest,0.702976593497106,0.4059531869942119,0.2976409346141064,0.37900581825885404,0.15590865446265276,0.32931217889233416,0.6814349943799176,0.44403753719386585,0.2383459901367429
