feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator
grade_G,0.48403587713743723,0.48403587713743723,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_F,0.4807552423881647,0.4807552423881647,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_E,0.47420346137810043,0.47420346137810043,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_D,0.4049360631205776,0.4049360631205776,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_C,0.31385734300604873,0.31385734300604873,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_small_business,0.25302670370009106,0.25302670370009106,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_educational,0.25075501718960247,0.25075501718960247,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
term_months,0.23152429478104722,0.23152429478104722,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
home_ownership_OTHER,0.18402903946245805,0.18402903946245805,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_wedding,-0.1830775893537351,0.1830775893537351,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_B,0.1696385018893818,0.1696385018893818,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
installment,0.15201275072545528,0.15201275072545528,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
acc_open_past_24mths,0.11913107236238571,0.11913107236238571,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_renewable_energy,0.10317774263810199,0.10317774263810199,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
home_ownership_RENT,0.09864167232538122,0.09864167232538122,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
dti,0.09696898123238187,0.09696898123238187,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_medical,0.09320787906660011,0.09320787906660011,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
loan_amnt,-0.08376282313873348,0.08376282313873348,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
fico_score,-0.07501726845515919,0.07501726845515919,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
total_il_high_credit_limit,-0.06459793304297949,0.06459793304297949,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_moving,0.059725988373772694,0.059725988373772694,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
total_acc,-0.057350983668605825,0.057350983668605825,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
disbursement_method_DirectPay,0.05407945396239166,0.05407945396239166,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
emp_length_missing,0.05354811816932326,0.05354811816932326,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
application_type_Joint App,-0.0528250447937836,0.0528250447937836,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
verification_status_Source Verified,0.05033094535189109,0.05033094535189109,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
annual_inc,-0.046444737491812604,0.046444737491812604,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
total_bal_ex_mort,0.04607892665031162,0.04607892665031162,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
total_bc_limit,-0.042953543658503915,0.042953543658503915,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
mort_acc,-0.037841048722015914,0.037841048722015914,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
inq_last_6mths,0.037108328971667874,0.037108328971667874,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_credit_card,-0.03623342255535127,0.03623342255535127,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
int_rate,0.03544326013024179,0.03544326013024179,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
avg_cur_bal,-0.0341414545953744,0.0341414545953744,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
initial_list_status_w,0.03137117860224534,0.03137117860224534,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
home_ownership_OWN,0.030597222451175455,0.030597222451175455,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
delinq_2yrs,0.027304013241689986,0.027304013241689986,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_major_purchase,0.02712358542187411,0.02712358542187411,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
revol_bal,-0.026469311020630343,0.026469311020630343,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
open_acc,0.02544194210485003,0.02544194210485003,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
