feature,importance
int_rate,0.14232214362924972
term_months,0.10344935714478164
grade_A,0.07641202398814309
fico_score,0.03876493896595
grade_B,0.03868259397025769
dti,0.03799219838796444
acc_open_past_24mths,0.03401481415973679
avg_cur_bal,0.03117342547720061
grade_E,0.03057942042618305
annual_inc,0.029391214458950637
loan_amnt,0.029318601697872183
installment,0.02849455353077849
bc_open_to_buy,0.0273444695712815
total_bc_limit,0.025549863530242432
bc_util,0.022622659143553034
grade_D,0.022375988527829047
revol_util,0.02175882938877369
revol_bal,0.021073644642418978
credit_history_months,0.020565837398656604
total_bal_ex_mort,0.01970584805155591
total_il_high_credit_limit,0.018334802104555466
grade_C,0.016623848992963496
total_acc,0.015425837850938182
open_acc,0.014701728941493549
mort_acc,0.013859049503120958
verification_status_Not Verified,0.013644923689600444
grade_F,0.013396127231945816
inq_last_6mths,0.0112895189061218
emp_length_num,0.010454562913118231
home_ownership_MORTGAGE,0.006888489541074811
home_ownership_RENT,0.005943604931547191
verification_status_Verified,0.005187391456212985
initial_list_status_w,0.0034753856283698662
delinq_2yrs,0.0034715192096305917
purpose_credit_card,0.0034315118090912076
initial_list_status_f,0.0034224061223912658
purpose_debt_consolidation,0.003416385526937178
verification_status_Source Verified,0.0033701920594060002
emp_length_missing,0.0032017593837106646
pub_rec,0.0028132716448561056
