feature,importance
grade_A,0.24212562
grade_B,0.13760415
int_rate,0.12659763
term_months,0.10288167
grade_C,0.051166132
grade_D,0.03915534
grade_E,0.030412124
acc_open_past_24mths,0.015569951
fico_score,0.0149926115
mort_acc,0.013024344
avg_cur_bal,0.011904704
emp_length_missing,0.010774667
dti,0.0105332965
home_ownership_MORTGAGE,0.009594063
annual_inc,0.009101166
verification_status_Not Verified,0.0083760545
home_ownership_RENT,0.008365753
purpose_small_business,0.005986794
loan_amnt,0.0059391833
total_bc_limit,0.005802968
addr_state_CO,0.00559825
initial_list_status_w,0.0055827415
addr_state_OR,0.0053101922
inq_last_6mths,0.004833449
addr_state_SC,0.0046468666
installment,0.0046289293
verification_status_Source Verified,0.004580636
addr_state_NY,0.0045479634
addr_state_KS,0.004277299
initial_list_status_f,0.004211193
addr_state_OK,0.00411201
addr_state_WA,0.0040387455
addr_state_NJ,0.0039229495
addr_state_CA,0.003903253
total_acc,0.0038094218
bc_open_to_buy,0.0037020065
home_ownership_OWN,0.0034794023
addr_state_GA,0.0034105342
emp_length_num,0.003399476
delinq_2yrs,0.00338509
